customer_id,call_date,queue,handle_time_min,is_repeat_7d
C0000323,2026-03-12,Billing,14.2,1
C0049970,2026-01-13,Technical_Support,26.6,1
C0035230,2026-03-04,Sales,1.3,0
C0006083,2026-03-03,Sales,11.9,0
C0009037,2025-11-18,Technical_Support,10.5,1
C0009345,2025-10-05,Billing,8.9,0
C0023906,2026-03-09,Sales,5.5,0
C0010937,2026-03-12,Technical_Support,14.6,0
C0025281,2026-01-27,Sales,10.1,0
C0048509,2025-10-07,General_Inquiry,5.9,1
C0043284,2025-10-27,Billing,10.8,0
C0020178,2025-12-04,Billing,6.4,0
C0034587,2025-12-16,Technical_Support,17.7,0
C0030146,2026-01-22,Billing,16.0,1
C0025898,2025-10-19,Mobile_Support,7.2,0
C0029653,2025-10-12,Retention,17.3,0
C0030888,2025-10-08,Sales,14.5,0
C0049714,2026-02-17,Technical_Support,16.8,1
C0023825,2025-10-30,Technical_Support,16.1,1
C0046609,2026-01-19,General_Inquiry,5.4,0
C0011620,2026-01-16,Technical_Support,10.0,1
C0016277,2026-03-09,Technical_Support,17.1,1
C0029073,2025-11-25,Billing,1.9,1
C0004087,2025-11-28,Billing,5.9,1
C0012401,2025-10-26,Billing,7.2,1
C0036514,2025-10-06,Billing,7.9,0
C0006116,2025-10-05,Billing,9.5,0
C0045646,2025-10-15,General_Inquiry,8.2,0
C0002359,2026-01-08,Technical_Support,23.3,1
C0029977,2025-12-12,General_Inquiry,10.7,1
C0045398,2025-12-23,Technical_Support,16.2,1
C0017828,2025-11-08,Technical_Support,13.3,0
C0040446,2025-12-17,Retention,8.3,0
C0008128,2025-12-04,Technical_Support,8.8,1
C0010428,2026-03-09,Technical_Support,16.9,1
C0043864,2026-01-13,General_Inquiry,7.8,0
C0007351,2025-10-08,Technical_Support,14.9,1
C0042896,2026-01-11,General_Inquiry,9.0,0
C0043603,2025-10-16,Technical_Support,15.0,0
C0032983,2025-12-04,Billing,8.5,1
C0036265,2025-10-23,Retention,34.7,0
C0020773,2026-03-11,Billing,4.2,0
C0037506,2025-12-12,Technical_Support,20.4,0
C0047174,2025-11-12,Sales,12.9,0
C0041905,2026-01-10,Retention,31.6,1
C0036395,2025-12-23,Billing,6.9,0
C0025525,2026-01-29,Technical_Support,10.3,1
C0042048,2026-01-29,General_Inquiry,6.1,0
C0009858,2025-10-23,Billing,8.4,0
C0042248,2025-12-13,Sales,12.8,0
C0004578,2026-02-28,General_Inquiry,9.8,0
C0017285,2025-11-17,Mobile_Support,15.7,0
C0019696,2026-02-04,Billing,8.6,0
C0037533,2026-01-31,Technical_Support,11.5,1
C0005460,2025-10-31,Billing,1.5,0
C0000874,2025-12-19,Technical_Support,13.4,1
C0014333,2025-10-16,Mobile_Support,2.1,1
C0016460,2025-12-25,Billing,10.4,1
C0001568,2025-10-08,Retention,17.6,0
C0039935,2026-01-06,Mobile_Support,7.5,1
C0008716,2026-01-23,Technical_Support,8.3,0
C0014346,2025-10-22,Technical_Support,19.6,0
C0007005,2026-02-12,Billing,8.4,0
C0046256,2025-10-05,Sales,12.8,0
C0013183,2025-11-14,Billing,6.4,1
C0005654,2026-01-01,Technical_Support,12.0,1
C0020105,2026-03-13,Retention,14.3,0
C0041803,2025-10-11,Billing,6.2,1
C0034837,2026-02-23,Billing,11.6,1
C0015957,2026-02-02,General_Inquiry,9.0,0
C0023022,2025-10-21,Technical_Support,15.8,1
C0042291,2025-10-02,General_Inquiry,7.0,0
C0042869,2026-02-28,Billing,7.3,1
C0013580,2026-01-27,Billing,8.4,0
C0046583,2025-10-25,Technical_Support,10.5,1
C0041286,2025-12-25,Technical_Support,2.8,1
C0028234,2025-11-20,General_Inquiry,4.6,0
C0016755,2025-11-18,General_Inquiry,9.8,0
C0038654,2025-12-07,Technical_Support,13.6,0
C0018871,2026-03-11,Billing,9.9,0
C0036734,2025-11-03,Retention,15.7,0
C0004699,2026-01-30,Technical_Support,14.3,1
C0008050,2025-12-04,Retention,14.8,1
C0042612,2026-01-28,Retention,20.5,0
C0032419,2026-01-18,Sales,14.5,0
C0007034,2026-02-15,Technical_Support,21.2,1
C0032016,2026-03-19,Retention,8.4,0
C0032222,2025-12-01,Billing,9.3,0
C0041594,2026-02-05,Sales,1.0,0
C0007843,2025-12-26,Technical_Support,14.5,1
C0011008,2025-12-24,Technical_Support,11.4,1
C0030225,2025-10-03,Mobile_Support,14.4,1
C0035184,2025-12-30,Technical_Support,12.7,0
C0000691,2026-01-18,Mobile_Support,12.6,0
C0032827,2025-10-18,Billing,11.3,1
C0045315,2026-01-29,General_Inquiry,9.7,0
C0012878,2026-01-30,Billing,4.6,0
C0035538,2026-03-19,Billing,4.9,0
C0001920,2026-01-29,Technical_Support,12.7,1
C0002057,2026-01-07,Billing,6.4,0
C0025866,2025-10-27,Sales,13.8,0
C0049135,2026-01-12,Sales,5.9,0
C0022960,2026-03-20,Retention,13.8,0
C0021079,2025-11-20,Sales,3.2,1
C0046434,2025-12-11,Technical_Support,19.7,1
C0042622,2026-01-11,Billing,8.6,1
C0027867,2025-10-02,Billing,7.9,1
C0041735,2026-02-11,Technical_Support,15.3,1
C0003307,2025-10-08,Technical_Support,17.1,1
C0031648,2025-10-07,Billing,6.2,0
C0040770,2026-01-16,Technical_Support,10.4,0
C0003952,2025-10-22,Technical_Support,20.0,0
C0001738,2026-01-24,Technical_Support,23.2,1
C0005852,2025-10-30,Billing,8.0,0
C0033492,2025-10-16,Technical_Support,16.1,1
C0029073,2026-01-03,Sales,12.0,0
C0008732,2025-12-26,Technical_Support,19.7,1
C0012992,2026-02-21,Technical_Support,10.3,1
C0040913,2025-11-08,Technical_Support,25.9,1
C0010760,2026-03-04,Mobile_Support,14.7,0
C0024148,2025-10-18,General_Inquiry,11.6,1
C0003342,2025-12-30,Retention,14.3,0
C0024672,2026-02-23,Billing,12.0,0
C0024878,2026-02-25,Mobile_Support,9.2,0
C0028590,2025-11-04,Retention,11.6,0
C0048360,2025-12-18,Technical_Support,22.2,0
C0021564,2025-12-01,Retention,20.7,1
C0000908,2026-02-02,Mobile_Support,6.6,1
C0010966,2025-10-24,Billing,11.7,1
C0019163,2025-11-18,Technical_Support,22.6,1
C0019912,2026-01-28,Billing,10.6,0
C0019950,2025-10-04,Technical_Support,3.2,1
C0034271,2025-11-27,Billing,7.9,1
C0002650,2025-12-12,General_Inquiry,12.9,0
C0029117,2026-02-20,Technical_Support,25.3,1
C0007319,2025-10-20,Billing,10.6,0
C0006767,2025-12-05,Retention,18.7,0
C0018688,2025-11-10,Retention,37.9,1
C0032523,2025-10-05,Technical_Support,18.9,0
C0030379,2026-02-04,Billing,9.3,1
C0049010,2026-02-01,Sales,11.9,1
C0040564,2025-12-23,Billing,8.3,0
C0028111,2026-01-15,General_Inquiry,7.1,0
C0007321,2025-10-31,Mobile_Support,7.7,0
C0007921,2026-03-03,General_Inquiry,6.1,1
C0041503,2026-01-08,Billing,10.4,1
C0023125,2025-11-30,Retention,12.5,0
C0024148,2025-10-24,Technical_Support,13.0,0
C0044903,2025-11-19,Billing,9.1,1
C0032302,2026-03-18,Billing,9.3,0
C0010078,2026-01-08,Sales,4.7,0
C0034266,2025-10-13,Retention,12.2,0
C0014083,2026-03-11,Technical_Support,11.7,1
C0003712,2026-01-04,Billing,7.2,0
C0016428,2025-12-02,General_Inquiry,2.8,0
C0030236,2025-10-13,Technical_Support,29.3,0
C0049436,2025-11-15,Billing,7.4,0
C0030005,2026-03-27,Billing,8.4,1
C0044978,2026-01-21,Mobile_Support,5.1,1
C0048498,2026-01-27,Billing,7.2,0
C0030813,2025-10-27,Technical_Support,14.6,1
C0007571,2026-01-30,Billing,7.8,0
C0026353,2026-02-15,Billing,11.2,0
C0044713,2025-10-23,Sales,16.2,1
C0047210,2026-03-31,Billing,5.1,1
C0040126,2026-01-17,Billing,7.2,0
C0003871,2026-03-05,General_Inquiry,9.7,1
C0047961,2025-11-13,General_Inquiry,7.5,0
C0025945,2025-12-21,General_Inquiry,6.5,0
C0022747,2026-03-24,Retention,24.0,1
C0006710,2026-02-26,Billing,13.7,1
C0001121,2025-12-29,Billing,4.1,0
C0021052,2025-11-20,Billing,5.8,1
C0005313,2025-10-12,Billing,15.8,0
C0002045,2026-01-28,General_Inquiry,4.0,1
C0002120,2025-12-29,Billing,1.0,0
C0003522,2025-12-03,Technical_Support,15.9,0
C0004968,2025-10-15,Billing,6.5,0
C0047736,2026-03-30,Technical_Support,14.5,0
C0020046,2026-01-14,General_Inquiry,7.5,1
C0022033,2025-10-14,Sales,13.9,0
C0023085,2026-01-20,Technical_Support,7.7,1
C0034559,2026-02-10,Technical_Support,7.1,1
C0024728,2025-10-11,General_Inquiry,9.6,0
C0011008,2025-10-17,General_Inquiry,10.2,0
C0030012,2026-02-28,General_Inquiry,1.3,0
C0030009,2026-03-23,General_Inquiry,5.6,0
C0030379,2026-03-07,Technical_Support,10.5,1
C0011682,2026-02-18,Billing,10.1,0
C0044528,2025-10-18,Billing,8.0,0
C0032094,2025-10-10,Billing,11.2,0
C0039568,2025-10-31,Retention,16.9,0
C0049560,2025-10-01,Technical_Support,8.7,0
C0032073,2026-01-02,Billing,12.5,0
C0019637,2025-10-19,Mobile_Support,3.8,0
C0012234,2026-01-09,Retention,23.5,0
C0000945,2025-11-19,General_Inquiry,2.0,0
C0007201,2025-10-21,Billing,5.9,0
C0002896,2026-02-12,Billing,4.4,0
C0010842,2025-11-10,Retention,12.1,0
C0049406,2025-12-06,Technical_Support,17.0,1
C0041185,2026-01-25,Retention,23.7,0
C0043630,2025-12-04,Billing,7.4,1
C0031970,2025-11-19,Billing,5.9,0
C0004640,2025-11-18,Billing,6.4,1
C0009803,2025-10-03,Sales,11.6,0
C0036861,2026-01-06,Billing,7.2,0
C0038486,2026-03-26,Sales,7.1,0
C0004570,2026-02-20,Retention,22.4,1
C0018907,2025-12-08,Retention,13.9,0
C0043997,2025-10-20,Billing,5.1,0
C0046361,2026-03-20,Technical_Support,15.1,0
C0025245,2026-03-02,General_Inquiry,8.7,0
C0001902,2026-03-25,Technical_Support,9.7,1
C0041330,2026-03-18,Sales,6.8,0
C0024962,2026-01-22,Technical_Support,16.1,1
C0037289,2025-12-21,Billing,8.4,0
C0002267,2026-01-27,Sales,8.0,0
C0002125,2026-01-29,Technical_Support,5.1,0
C0037057,2025-11-01,Technical_Support,13.9,1
C0003646,2026-01-08,Billing,7.9,0
C0045622,2025-10-29,Technical_Support,8.8,0
C0017765,2026-02-19,Retention,27.4,0
C0019304,2025-11-08,General_Inquiry,6.5,0
C0014266,2026-03-05,Sales,13.2,1
C0032942,2025-12-25,Billing,10.5,0
C0014399,2025-12-04,Mobile_Support,26.7,1
C0020356,2026-03-11,Sales,16.6,0
C0007684,2025-12-15,Mobile_Support,11.7,1
C0035889,2026-02-28,Technical_Support,25.6,1
C0017145,2025-10-29,Billing,6.7,1
C0005416,2025-10-14,Technical_Support,9.9,0
C0042780,2026-03-20,Retention,19.8,0
C0044179,2025-12-15,Sales,8.8,0
C0038223,2026-02-18,Technical_Support,14.0,0
C0029814,2025-12-05,Retention,22.3,0
C0019300,2025-10-08,Billing,9.7,0
C0013819,2026-01-15,Technical_Support,15.6,1
C0037119,2026-01-07,Sales,9.6,0
C0044063,2025-11-24,Mobile_Support,9.4,0
C0026460,2025-12-08,Billing,7.6,0
C0043615,2026-01-31,Retention,14.8,1
C0013942,2026-02-12,Technical_Support,10.5,0
C0028199,2026-01-06,General_Inquiry,6.4,1
C0019692,2026-03-20,General_Inquiry,1.9,1
C0034079,2025-11-10,Technical_Support,17.8,0
C0036950,2026-01-06,Billing,10.1,0
C0031307,2026-03-28,General_Inquiry,6.6,0
C0001378,2026-03-31,Technical_Support,11.3,0
C0005458,2025-11-24,Technical_Support,16.6,1
C0002292,2026-02-11,Billing,12.6,0
C0045305,2025-12-02,Retention,24.1,0
C0018459,2026-02-12,Billing,10.8,0
C0046693,2025-11-08,Billing,5.9,0
C0010987,2025-12-22,Mobile_Support,12.1,1
C0039355,2026-01-02,Retention,19.6,0
C0009486,2026-03-20,Billing,3.8,0
C0031541,2026-02-17,General_Inquiry,8.1,0
C0022801,2025-10-24,General_Inquiry,5.6,1
C0045205,2025-10-23,Technical_Support,19.3,0
C0031593,2026-02-06,Mobile_Support,5.8,0
C0038828,2025-12-28,Retention,17.4,0
C0037327,2025-10-08,Mobile_Support,12.3,1
C0005300,2025-10-23,Billing,10.9,0
C0027757,2025-10-03,Billing,3.4,1
C0002046,2025-12-17,Billing,4.3,1
C0020991,2025-10-09,Technical_Support,7.8,0
C0006571,2026-03-29,General_Inquiry,7.3,0
C0032088,2026-02-23,Sales,12.4,0
C0032364,2026-03-11,Sales,10.1,0
C0030315,2026-03-30,Technical_Support,7.9,0
C0034308,2026-03-10,Sales,7.4,0
C0024412,2025-10-03,Technical_Support,3.5,0
C0001145,2026-02-22,Billing,13.1,0
C0043857,2026-03-29,Sales,6.6,0
C0030469,2025-12-28,Retention,20.6,1
C0039786,2026-01-09,Billing,9.3,0
C0024561,2025-11-20,Sales,12.3,0
C0039458,2026-03-09,Technical_Support,10.9,1
C0031126,2026-01-19,Technical_Support,20.8,0
C0017050,2025-12-11,Technical_Support,22.4,0
C0046235,2026-02-26,Billing,4.4,0
C0022497,2026-02-04,Retention,20.1,0
C0003432,2026-01-16,Retention,5.2,0
C0029656,2026-03-04,Sales,9.8,0
C0023314,2026-01-08,Billing,12.2,0
C0011198,2025-10-20,Technical_Support,9.6,1
C0047913,2025-11-26,Sales,10.1,0
C0024126,2025-10-10,Technical_Support,6.5,1
C0047533,2025-12-18,Billing,6.9,1
C0033026,2026-03-29,Billing,8.0,1
C0015297,2026-01-16,Billing,11.2,0
C0013083,2026-02-02,Billing,4.7,0
C0036543,2025-10-20,Mobile_Support,5.5,1
C0003985,2025-12-01,Technical_Support,6.1,1
C0004656,2026-01-31,Billing,3.3,0
C0042410,2025-10-01,Mobile_Support,18.5,1
C0007468,2025-11-03,Billing,11.5,1
C0044713,2026-01-25,General_Inquiry,6.1,0
C0041905,2026-02-23,Retention,26.1,0
C0006410,2025-11-10,Retention,20.2,1
C0027890,2026-01-13,Billing,13.2,0
C0019537,2025-11-19,Technical_Support,23.6,0
C0046003,2025-12-13,Technical_Support,18.6,0
C0018603,2026-02-27,Sales,10.8,0
C0035872,2026-02-13,Retention,30.0,1
C0008124,2025-11-17,Billing,9.6,0
C0003035,2025-11-21,Technical_Support,9.7,0
C0036462,2025-10-28,Billing,5.3,0
C0010355,2026-03-10,Sales,9.2,0
C0033099,2026-03-18,Billing,7.4,0
C0003291,2026-03-25,Billing,4.5,0
C0008888,2026-03-22,Billing,6.0,0
C0015887,2025-10-09,Billing,4.9,0
C0022320,2026-01-24,Sales,12.5,1
C0028543,2026-01-01,Billing,14.0,0
C0019122,2025-12-25,General_Inquiry,5.4,1
C0016652,2026-02-06,Billing,6.7,0
C0007973,2025-11-11,Sales,1.3,0
C0002680,2026-03-31,Sales,10.1,0
C0009997,2026-02-17,Technical_Support,7.8,1
C0043459,2025-12-28,General_Inquiry,4.3,1
C0012390,2026-01-27,General_Inquiry,3.9,0
C0002455,2026-03-24,General_Inquiry,13.7,0
C0040727,2025-12-06,Technical_Support,3.8,1
C0039786,2025-11-11,Mobile_Support,20.5,1
C0034682,2026-03-25,Technical_Support,16.0,0
C0015992,2026-03-08,Mobile_Support,18.4,0
C0033140,2026-02-23,Billing,7.8,1
C0016402,2026-03-06,Billing,6.0,1
C0044204,2025-11-25,Sales,14.4,0
C0043168,2026-03-11,Billing,3.9,0
C0040036,2025-10-27,Billing,11.3,0
C0010427,2026-03-12,Billing,8.3,0
C0041281,2025-10-11,Billing,9.9,0
C0045992,2025-12-27,Billing,14.6,1
C0020999,2026-02-22,Mobile_Support,16.9,1
C0036363,2026-01-21,Technical_Support,19.8,1
C0010547,2026-02-20,Billing,9.6,0
C0018724,2025-11-27,Technical_Support,21.5,1
C0014880,2025-10-29,Billing,10.6,0
C0021696,2025-12-14,Technical_Support,8.5,1
C0016362,2026-01-12,Technical_Support,13.9,0
C0025455,2025-10-23,Billing,4.9,0
C0037303,2026-03-06,Mobile_Support,13.5,0
C0009680,2026-03-31,Technical_Support,16.1,0
C0037889,2026-01-25,Billing,8.1,0
C0038027,2026-02-09,Billing,10.2,1
C0011191,2025-12-18,Billing,7.1,1
C0018679,2026-02-26,Sales,11.1,0
C0022237,2025-11-30,Technical_Support,14.9,0
C0049419,2026-02-13,Billing,7.4,0
C0004444,2025-11-06,Sales,7.8,1
C0010061,2025-10-22,General_Inquiry,7.9,0
C0026921,2026-01-01,Technical_Support,8.4,1
C0012162,2026-03-07,Retention,6.4,0
C0002286,2025-11-15,Sales,1.7,0
C0007054,2025-10-21,Billing,5.1,0
C0046067,2025-11-26,Technical_Support,19.9,0
C0026209,2026-01-05,Retention,12.5,0
C0038298,2026-02-15,Technical_Support,24.1,1
C0022653,2026-02-03,Technical_Support,9.9,0
C0000707,2025-10-08,Billing,3.2,0
C0018757,2025-10-07,General_Inquiry,2.5,1
C0036712,2025-10-28,Billing,10.9,0
C0016672,2026-02-14,Billing,8.9,0
C0046358,2026-02-17,Retention,24.6,1
C0010157,2026-01-14,Billing,2.5,0
C0017479,2025-10-18,Billing,4.1,0
C0010745,2026-03-31,Sales,15.4,0
C0029590,2026-01-14,Technical_Support,19.5,0
C0017285,2025-12-09,Billing,5.7,0
C0041210,2025-10-14,Sales,8.4,0
C0006376,2026-02-25,Sales,14.3,1
C0044586,2026-01-02,Sales,12.2,0
C0040620,2026-03-22,Technical_Support,12.3,1
C0013868,2025-11-14,Mobile_Support,10.8,0
C0012967,2025-12-06,Technical_Support,13.2,0
C0049745,2025-11-13,Retention,15.4,1
C0025540,2025-10-02,Sales,17.9,0
C0030817,2026-01-07,Sales,6.2,0
C0022745,2025-10-17,Billing,9.0,1
C0031925,2025-12-10,Retention,14.9,1
C0047213,2025-11-15,Retention,27.1,0
C0024872,2026-03-25,Technical_Support,11.1,1
C0021338,2026-01-02,Sales,8.9,0
C0034594,2026-01-21,Sales,6.5,0
C0040048,2025-10-11,Technical_Support,10.3,1
C0035379,2025-12-30,Billing,9.6,1
C0025166,2026-01-19,Mobile_Support,13.3,1
C0034027,2025-11-05,Sales,14.6,1
C0022815,2026-01-08,Billing,5.3,1
C0031698,2026-01-13,Billing,12.4,1
C0019648,2026-02-01,Retention,22.4,0
C0010259,2026-03-18,Billing,7.2,1
C0013935,2026-03-27,Billing,7.9,0
C0007091,2026-01-29,Billing,1.0,0
C0020844,2026-01-06,Retention,15.4,0
C0031021,2026-02-01,Technical_Support,20.2,0
C0018513,2025-12-23,Technical_Support,16.9,0
C0023207,2025-12-06,Billing,7.1,0
C0020763,2026-03-17,Retention,19.8,1
C0011605,2026-03-29,Retention,18.8,0
C0017493,2025-12-10,Billing,8.5,1
C0035785,2025-11-03,Billing,10.1,0
C0037136,2025-12-14,Billing,10.0,0
C0006540,2026-02-13,Sales,8.6,0
C0041443,2026-03-23,Mobile_Support,11.2,1
C0025349,2025-12-02,Billing,7.5,0
C0028360,2025-10-30,Billing,9.9,1
C0040721,2025-10-09,Sales,7.0,0
C0046088,2026-03-03,General_Inquiry,6.4,0
C0006495,2025-11-11,Mobile_Support,13.1,1
C0045879,2025-10-12,Mobile_Support,11.1,1
C0008559,2025-10-04,General_Inquiry,6.8,1
C0002604,2026-03-14,Sales,12.5,0
C0027197,2025-10-23,Billing,13.7,0
C0047817,2026-03-16,General_Inquiry,4.4,1
C0023462,2025-10-08,Billing,6.0,0
C0036769,2025-11-11,Technical_Support,4.5,0
C0045852,2025-12-11,Billing,8.5,0
C0043446,2025-11-13,Sales,17.0,0
C0023525,2025-11-11,Technical_Support,4.7,0
C0008203,2026-03-10,Retention,24.0,1
C0044274,2025-10-28,Billing,6.4,0
C0029710,2026-01-22,Billing,3.7,0
C0022498,2025-12-30,Billing,11.1,1
C0047549,2026-02-25,Retention,22.2,0
C0006036,2026-03-18,Billing,11.2,0
C0018459,2025-11-21,Sales,7.9,0
C0010083,2025-12-20,Technical_Support,2.8,0
C0015315,2026-01-22,Billing,4.3,0
C0044129,2025-11-02,Mobile_Support,11.7,0
C0002207,2026-01-03,General_Inquiry,5.3,0
C0048541,2026-01-04,Technical_Support,16.5,1
C0033936,2025-11-15,Technical_Support,24.2,1
C0015957,2025-12-01,Billing,4.1,1
C0031378,2026-01-17,Technical_Support,16.0,1
C0043322,2025-11-14,Mobile_Support,13.1,0
C0019443,2025-10-08,Billing,1.1,1
C0046105,2025-10-28,Mobile_Support,9.8,0
C0029503,2025-10-18,Technical_Support,15.9,1
C0029181,2026-01-15,Technical_Support,8.9,1
C0021322,2026-02-02,Billing,3.8,0
C0034949,2026-01-24,Billing,4.8,0
C0014497,2025-10-03,Retention,17.6,0
C0005346,2026-01-24,Technical_Support,16.1,1
C0030775,2025-12-08,Billing,9.6,1
C0036002,2026-01-08,Billing,10.1,1
C0036968,2026-02-03,Billing,8.4,1
C0023206,2025-12-21,Sales,4.3,0
C0022560,2025-10-23,Retention,15.0,0
C0045793,2026-03-10,Technical_Support,11.7,1
C0013473,2025-10-30,Mobile_Support,15.3,0
C0043001,2025-12-17,Sales,10.7,0
C0033434,2025-10-16,Technical_Support,10.4,1
C0005178,2025-10-10,Sales,10.5,0
C0020895,2025-11-23,Billing,10.2,0
C0037631,2025-10-02,Sales,12.4,0
C0000655,2025-10-24,Technical_Support,10.2,0
C0008896,2025-11-02,Technical_Support,8.7,0
C0039558,2025-12-18,Billing,5.9,0
C0024059,2026-03-05,Technical_Support,18.5,0
C0029805,2025-12-15,Retention,8.3,1
C0031731,2026-01-23,Technical_Support,16.6,0
C0009793,2026-03-18,Billing,6.2,0
C0045740,2025-11-27,General_Inquiry,7.1,0
C0046055,2026-02-28,Retention,17.7,0
C0013472,2026-01-02,Sales,9.1,0
C0008357,2026-01-25,General_Inquiry,3.8,0
C0030884,2025-10-05,Technical_Support,14.0,1
C0000635,2026-03-13,Sales,10.7,0
C0033464,2026-02-28,General_Inquiry,3.3,1
C0047589,2026-01-27,General_Inquiry,4.6,1
C0028786,2025-12-19,Technical_Support,1.2,0
C0012633,2025-12-30,Technical_Support,12.0,0
C0006302,2026-03-13,Mobile_Support,8.4,1
C0044017,2026-02-15,Retention,28.3,0
C0018212,2026-01-14,Billing,9.7,0
C0048565,2026-03-30,Sales,5.3,0
C0028695,2025-11-08,Billing,10.9,0
C0000979,2026-01-24,Technical_Support,13.4,0
C0007350,2026-01-19,Billing,2.1,1
C0014792,2025-11-23,Technical_Support,7.9,1
C0040166,2026-03-31,Technical_Support,10.9,1
C0035512,2026-03-18,Mobile_Support,10.6,1
C0013166,2025-12-22,Billing,11.7,0
C0015795,2025-11-06,Sales,11.6,0
C0005229,2025-10-25,Sales,5.5,0
C0038167,2025-10-19,Billing,6.6,0
C0031738,2026-02-16,Technical_Support,8.5,1
C0025702,2025-10-22,Mobile_Support,8.8,1
C0024880,2026-03-25,Technical_Support,17.5,1
C0020942,2025-11-13,Mobile_Support,18.9,0
C0011151,2026-01-02,Billing,9.1,0
C0030464,2026-03-10,General_Inquiry,9.2,0
C0046290,2025-10-11,Billing,8.2,0
C0032365,2025-12-11,General_Inquiry,10.2,1
C0038372,2026-01-29,Retention,18.5,1
C0002267,2025-11-11,Mobile_Support,4.3,0
C0020095,2026-03-16,Sales,3.9,0
C0034689,2025-11-01,Billing,8.4,1
C0034119,2026-03-27,General_Inquiry,6.9,0
C0023238,2026-01-23,Retention,12.7,0
C0002499,2026-02-21,Sales,15.2,0
C0036818,2026-01-20,Billing,9.1,1
C0012536,2026-01-19,Retention,23.0,0
C0003421,2025-11-28,General_Inquiry,8.3,0
C0018324,2026-01-21,Retention,6.8,0
C0033930,2026-03-31,Mobile_Support,16.2,1
C0038104,2026-03-28,Billing,11.1,0
C0047933,2026-02-16,Sales,9.0,0
C0017925,2025-12-03,Sales,13.1,0
C0037895,2025-10-10,Mobile_Support,1.6,0
C0019044,2026-03-24,Technical_Support,13.9,1
C0034088,2025-11-17,Technical_Support,6.2,0
C0035836,2025-11-14,Technical_Support,24.1,0
C0043528,2025-12-01,Mobile_Support,9.0,1
C0016614,2026-02-06,Mobile_Support,9.7,0
C0033190,2026-02-28,Sales,11.8,0
C0043852,2025-11-28,Sales,10.4,0
C0041141,2025-11-27,Retention,13.3,0
C0029400,2026-02-12,Retention,19.7,0
C0048877,2026-01-03,Technical_Support,5.6,0
C0013260,2025-10-14,Billing,9.7,1
C0008292,2025-12-08,Technical_Support,17.4,1
C0042017,2026-03-27,Technical_Support,22.2,1
C0047459,2025-12-30,Technical_Support,6.4,0
C0038056,2026-02-23,Billing,5.1,0
C0038076,2026-02-10,Sales,13.2,1
C0020316,2026-01-02,Retention,13.7,0
C0032759,2025-12-18,Retention,34.3,0
C0008183,2025-12-13,Technical_Support,10.4,1
C0000584,2026-01-21,Billing,8.2,0
C0047838,2026-02-24,General_Inquiry,5.0,1
C0047055,2025-11-03,General_Inquiry,10.1,0
C0042460,2026-03-16,Billing,7.1,0
C0023830,2025-10-14,Retention,7.5,0
C0034243,2026-02-02,Billing,13.6,0
C0004524,2026-03-20,Retention,18.5,0
C0030897,2025-11-29,Billing,6.8,0
C0033843,2025-12-19,General_Inquiry,2.3,1
C0049287,2026-02-03,Technical_Support,13.1,1
C0029903,2025-10-07,Sales,5.8,0
C0020905,2025-12-13,Technical_Support,17.4,0
C0028422,2026-02-10,Billing,8.9,0
C0017626,2026-02-23,Sales,5.7,0
C0010654,2026-02-02,Mobile_Support,14.8,0
C0048989,2025-10-11,Billing,4.6,1
