zip,month,group,channel,prospects,connects
70548,2025-12,test,digital_ads,109,2
70548,2026-01,test,door_to_door,261,12
70548,2026-01,test,digital_ads,70,1
70548,2026-02,test,door_to_door,174,7
70548,2026-02,test,digital_ads,92,2
70548,2026-03,test,door_to_door,130,6
70548,2026-03,test,digital_ads,186,4
73118,2025-10,test,door_to_door,120,5
73118,2025-10,test,digital_ads,118,3
73118,2025-11,test,door_to_door,106,4
73118,2025-11,test,digital_ads,212,5
73118,2025-12,test,door_to_door,168,7
73118,2025-12,test,digital_ads,115,2
73118,2026-01,test,door_to_door,121,5
73118,2026-01,test,digital_ads,169,4
73118,2026-02,test,door_to_door,145,6
73118,2026-02,test,digital_ads,177,4
73118,2026-03,test,door_to_door,168,7
73118,2026-03,test,digital_ads,151,4
31609,2025-10,test,door_to_door,119,5
31609,2025-10,test,digital_ads,152,4
31609,2025-11,test,door_to_door,89,4
31609,2025-11,test,digital_ads,151,3
31609,2025-12,test,door_to_door,148,6
31609,2025-12,test,digital_ads,155,4
31609,2026-01,test,door_to_door,67,3
31609,2026-01,test,digital_ads,134,3
31609,2026-02,test,door_to_door,135,5
31609,2026-02,test,digital_ads,165,4
31609,2026-03,test,door_to_door,151,6
31609,2026-03,test,digital_ads,147,3
61397,2025-10,test,door_to_door,144,6
61397,2025-10,test,digital_ads,200,4
61397,2025-11,test,door_to_door,223,10
61397,2025-11,test,digital_ads,215,5
61397,2025-12,test,door_to_door,146,7
61397,2025-12,test,digital_ads,100,2
61397,2026-01,test,door_to_door,82,4
61397,2026-01,test,digital_ads,178,4
61397,2026-02,test,door_to_door,178,8
61397,2026-02,test,digital_ads,112,2
61397,2026-03,test,door_to_door,106,4
61397,2026-03,test,digital_ads,191,5
72611,2025-10,test,door_to_door,205,8
72611,2025-10,test,digital_ads,159,4
72611,2025-11,test,door_to_door,189,9
72611,2025-11,test,digital_ads,168,3
72611,2025-12,test,door_to_door,132,6
72611,2025-12,test,digital_ads,150,3
72611,2026-01,test,door_to_door,137,6
72611,2026-01,test,digital_ads,127,2
72611,2026-02,test,door_to_door,50,2
72611,2026-02,test,digital_ads,142,3
72611,2026-03,test,door_to_door,190,10
72611,2026-03,test,digital_ads,147,2
30476,2025-10,test,door_to_door,152,7
30476,2025-10,test,digital_ads,103,2
30476,2025-11,test,door_to_door,214,10
30476,2025-11,test,digital_ads,107,2
30476,2025-12,test,door_to_door,231,11
30476,2025-12,test,digital_ads,114,3
30476,2026-01,test,door_to_door,146,7
30476,2026-01,test,digital_ads,212,5
30476,2026-02,test,door_to_door,163,6
30476,2026-02,test,digital_ads,139,3
30476,2026-03,test,door_to_door,183,9
30476,2026-03,test,digital_ads,181,4
85846,2025-10,test,door_to_door,194,8
85846,2025-10,test,digital_ads,151,3
85846,2025-11,test,door_to_door,183,8
85846,2025-11,test,digital_ads,181,4
85846,2025-12,test,door_to_door,156,6
85846,2025-12,test,digital_ads,137,3
85846,2026-01,test,door_to_door,187,10
85846,2026-01,test,digital_ads,55,1
85846,2026-02,test,door_to_door,126,5
85846,2026-02,test,digital_ads,188,5
85846,2026-03,test,door_to_door,106,4
85846,2026-03,test,digital_ads,163,3
69363,2025-10,test,door_to_door,118,5
69363,2025-10,test,digital_ads,195,5
69363,2025-11,test,door_to_door,175,8
69363,2025-11,test,digital_ads,131,3
69363,2025-12,test,door_to_door,154,7
69363,2025-12,test,digital_ads,95,2
69363,2026-01,test,door_to_door,132,6
69363,2026-01,test,digital_ads,114,3
69363,2026-02,test,door_to_door,104,5
69363,2026-02,test,digital_ads,137,3
69363,2026-03,test,door_to_door,130,5
69363,2026-03,test,digital_ads,189,4
99179,2025-10,test,door_to_door,124,5
99179,2025-10,test,digital_ads,172,4
99179,2025-11,test,door_to_door,134,7
99179,2025-11,test,digital_ads,269,7
99179,2025-12,test,door_to_door,109,5
99179,2025-12,test,digital_ads,113,3
99179,2026-01,test,door_to_door,161,6
99179,2026-01,test,digital_ads,145,3
99179,2026-02,test,door_to_door,220,10
99179,2026-02,test,digital_ads,168,4
99179,2026-03,test,door_to_door,115,4
99179,2026-03,test,digital_ads,89,2
91235,2025-10,test,door_to_door,123,5
91235,2025-10,test,digital_ads,204,5
91235,2025-11,test,door_to_door,155,7
91235,2025-11,test,digital_ads,123,3
91235,2025-12,test,door_to_door,65,2
91235,2025-12,test,digital_ads,172,4
91235,2026-01,test,door_to_door,191,8
91235,2026-01,test,digital_ads,84,2
91235,2026-02,test,door_to_door,95,4
91235,2026-02,test,digital_ads,137,3
91235,2026-03,test,door_to_door,95,4
91235,2026-03,test,digital_ads,104,2
97173,2025-10,test,door_to_door,109,5
97173,2025-10,test,digital_ads,141,4
97173,2025-11,test,door_to_door,168,7
97173,2025-11,test,digital_ads,124,2
97173,2025-12,test,door_to_door,81,3
97173,2025-12,test,digital_ads,147,3
97173,2026-01,test,door_to_door,161,7
97173,2026-01,test,digital_ads,133,3
97173,2026-02,test,door_to_door,165,8
97173,2026-02,test,digital_ads,78,2
97173,2026-03,test,door_to_door,148,6
97173,2026-03,test,digital_ads,118,2
24086,2025-10,test,door_to_door,143,7
24086,2025-10,test,digital_ads,75,2
24086,2025-11,test,door_to_door,118,5
24086,2025-11,test,digital_ads,168,4
24086,2025-12,test,door_to_door,119,5
24086,2025-12,test,digital_ads,156,3
24086,2026-01,test,door_to_door,104,5
24086,2026-01,test,digital_ads,220,5
24086,2026-02,test,door_to_door,119,5
24086,2026-02,test,digital_ads,178,5
24086,2026-03,test,door_to_door,69,3
24086,2026-03,test,digital_ads,92,2
36218,2025-10,test,door_to_door,178,10
36218,2025-10,test,digital_ads,146,3
36218,2025-11,test,door_to_door,114,5
36218,2025-11,test,digital_ads,111,2
36218,2025-12,test,door_to_door,179,8
36218,2025-12,test,digital_ads,82,2
36218,2026-01,test,door_to_door,168,8
36218,2026-01,test,digital_ads,127,3
36218,2026-02,test,door_to_door,159,7
36218,2026-02,test,digital_ads,248,5
36218,2026-03,test,door_to_door,142,6
36218,2026-03,test,digital_ads,82,2
58648,2025-10,test,door_to_door,93,4
58648,2025-10,test,digital_ads,147,4
58648,2025-11,test,door_to_door,128,5
58648,2025-11,test,digital_ads,125,3
58648,2025-12,test,door_to_door,192,8
58648,2025-12,test,digital_ads,253,6
58648,2026-01,test,door_to_door,122,5
58648,2026-01,test,digital_ads,149,3
58648,2026-02,test,door_to_door,228,10
58648,2026-02,test,digital_ads,121,2
58648,2026-03,test,door_to_door,143,7
58648,2026-03,test,digital_ads,211,5
69374,2025-10,test,door_to_door,110,5
69374,2025-10,test,digital_ads,136,3
69374,2025-11,test,door_to_door,163,7
69374,2025-11,test,digital_ads,166,3
69374,2025-12,test,door_to_door,57,2
69374,2025-12,test,digital_ads,89,2
69374,2026-01,test,door_to_door,147,7
69374,2026-01,test,digital_ads,160,4
69374,2026-02,test,door_to_door,135,6
69374,2026-02,test,digital_ads,302,7
69374,2026-03,test,door_to_door,151,6
69374,2026-03,test,digital_ads,132,3
64760,2025-10,test,door_to_door,133,6
64760,2025-10,test,digital_ads,129,3
64760,2025-11,test,door_to_door,169,8
64760,2025-11,test,digital_ads,137,3
64760,2025-12,test,door_to_door,89,3
64760,2025-12,test,digital_ads,96,2
64760,2026-01,test,door_to_door,50,2
64760,2026-01,test,digital_ads,112,2
64760,2026-02,test,door_to_door,146,7
64760,2026-02,test,digital_ads,113,2
64760,2026-03,test,door_to_door,101,4
64760,2026-03,test,digital_ads,107,2
58060,2025-10,test,door_to_door,156,7
58060,2025-10,test,digital_ads,232,6
58060,2025-11,test,door_to_door,142,6
58060,2025-11,test,digital_ads,146,3
58060,2025-12,test,door_to_door,196,9
58060,2025-12,test,digital_ads,144,3
58060,2026-01,test,door_to_door,184,7
58060,2026-01,test,digital_ads,117,2
58060,2026-02,test,door_to_door,174,8
58060,2026-02,test,digital_ads,211,4
58060,2026-03,test,door_to_door,157,6
58060,2026-03,test,digital_ads,161,4
11967,2025-10,test,door_to_door,124,5
11967,2025-10,test,digital_ads,152,3
11967,2025-11,test,door_to_door,124,5
11967,2025-11,test,digital_ads,177,4
11967,2025-12,test,door_to_door,235,10
11967,2025-12,test,digital_ads,256,7
11967,2026-01,test,door_to_door,146,6
11967,2026-01,test,digital_ads,132,3
11967,2026-02,test,door_to_door,180,7
11967,2026-02,test,digital_ads,173,5
11967,2026-03,test,door_to_door,152,6
11967,2026-03,test,digital_ads,119,2
55408,2025-10,test,door_to_door,162,7
55408,2025-10,test,digital_ads,168,4
55408,2025-11,test,door_to_door,231,10
55408,2025-11,test,digital_ads,195,4
55408,2025-12,test,door_to_door,153,7
55408,2025-12,test,digital_ads,180,5
55408,2026-01,test,door_to_door,236,11
55408,2026-01,test,digital_ads,151,3
55408,2026-02,test,door_to_door,122,6
55408,2026-02,test,digital_ads,207,5
55408,2026-03,test,door_to_door,162,7
55408,2026-03,test,digital_ads,200,5
64810,2025-10,test,door_to_door,127,5
64810,2025-10,test,digital_ads,141,3
64810,2025-11,test,door_to_door,101,4
64810,2025-11,test,digital_ads,122,3
64810,2025-12,test,door_to_door,161,7
64810,2025-12,test,digital_ads,154,3
64810,2026-01,test,door_to_door,191,8
64810,2026-01,test,digital_ads,119,3
64810,2026-02,test,door_to_door,95,4
64810,2026-02,test,digital_ads,123,3
64810,2026-03,test,door_to_door,189,9
64810,2026-03,test,digital_ads,127,3
50859,2025-10,test,door_to_door,143,6
50859,2025-10,test,digital_ads,130,3
50859,2025-11,test,door_to_door,168,7
50859,2025-11,test,digital_ads,166,4
50859,2025-12,test,door_to_door,168,7
50859,2025-12,test,digital_ads,156,4
50859,2026-01,test,door_to_door,106,4
50859,2026-01,test,digital_ads,230,6
50859,2026-02,test,door_to_door,186,8
50859,2026-02,test,digital_ads,156,4
50859,2026-03,test,door_to_door,141,6
50859,2026-03,test,digital_ads,104,2
59197,2025-10,test,door_to_door,192,8
59197,2025-10,test,digital_ads,121,3
59197,2025-11,test,door_to_door,142,6
59197,2025-11,test,digital_ads,175,4
59197,2025-12,test,door_to_door,167,7
59197,2025-12,test,digital_ads,132,3
59197,2026-01,test,door_to_door,116,5
59197,2026-01,test,digital_ads,140,3
59197,2026-02,test,door_to_door,204,10
59197,2026-02,test,digital_ads,143,3
59197,2026-03,test,door_to_door,104,4
59197,2026-03,test,digital_ads,178,4
29795,2025-10,test,door_to_door,96,4
29795,2025-10,test,digital_ads,108,2
29795,2025-11,test,door_to_door,236,12
29795,2025-11,test,digital_ads,145,3
29795,2025-12,test,door_to_door,160,7
29795,2025-12,test,digital_ads,197,4
29795,2026-01,test,door_to_door,141,6
29795,2026-01,test,digital_ads,170,4
29795,2026-02,test,door_to_door,186,8
29795,2026-02,test,digital_ads,150,4
29795,2026-03,test,door_to_door,181,8
29795,2026-03,test,digital_ads,159,3
71228,2025-10,test,door_to_door,153,7
71228,2025-10,test,digital_ads,217,5
71228,2025-11,test,door_to_door,157,7
71228,2025-11,test,digital_ads,242,5
71228,2025-12,test,door_to_door,131,5
71228,2025-12,test,digital_ads,142,3
71228,2026-01,test,door_to_door,131,6
71228,2026-01,test,digital_ads,108,2
71228,2026-02,test,door_to_door,134,5
71228,2026-02,test,digital_ads,103,3
71228,2026-03,test,door_to_door,163,7
71228,2026-03,test,digital_ads,110,2
66347,2025-10,test,door_to_door,191,8
66347,2025-10,test,digital_ads,114,3
66347,2025-11,test,door_to_door,127,5
66347,2025-11,test,digital_ads,190,4
66347,2025-12,test,door_to_door,82,3
66347,2025-12,test,digital_ads,165,4
66347,2026-01,test,door_to_door,137,6
66347,2026-01,test,digital_ads,161,3
66347,2026-02,test,door_to_door,165,8
66347,2026-02,test,digital_ads,138,2
66347,2026-03,test,door_to_door,214,10
66347,2026-03,test,digital_ads,213,5
62104,2025-10,test,door_to_door,199,9
62104,2025-10,test,digital_ads,231,6
62104,2025-11,test,door_to_door,250,10
62104,2025-11,test,digital_ads,167,4
62104,2025-12,test,door_to_door,193,9
62104,2025-12,test,digital_ads,111,2
62104,2026-01,test,door_to_door,75,3
62104,2026-01,test,digital_ads,105,2
62104,2026-02,test,door_to_door,154,7
62104,2026-02,test,digital_ads,118,2
62104,2026-03,test,door_to_door,88,4
62104,2026-03,test,digital_ads,91,2
21931,2025-10,test,door_to_door,157,6
21931,2025-10,test,digital_ads,179,4
21931,2025-11,test,door_to_door,158,7
21931,2025-11,test,digital_ads,127,3
21931,2025-12,test,door_to_door,151,6
21931,2025-12,test,digital_ads,141,3
21931,2026-01,test,door_to_door,169,8
21931,2026-01,test,digital_ads,142,3
21931,2026-02,test,door_to_door,169,7
21931,2026-02,test,digital_ads,123,3
21931,2026-03,test,door_to_door,155,6
21931,2026-03,test,digital_ads,96,2
74521,2025-10,test,door_to_door,159,7
74521,2025-10,test,digital_ads,160,4
74521,2025-11,test,door_to_door,101,5
74521,2025-11,test,digital_ads,187,4
74521,2025-12,test,door_to_door,154,7
74521,2025-12,test,digital_ads,152,4
74521,2026-01,test,door_to_door,179,8
74521,2026-01,test,digital_ads,134,3
74521,2026-02,test,door_to_door,115,5
74521,2026-02,test,digital_ads,147,3
74521,2026-03,test,door_to_door,146,6
74521,2026-03,test,digital_ads,90,2
82954,2025-10,test,door_to_door,169,7
82954,2025-10,test,digital_ads,161,3
82954,2025-11,test,door_to_door,127,5
82954,2025-11,test,digital_ads,117,3
82954,2025-12,test,door_to_door,93,4
82954,2025-12,test,digital_ads,182,5
82954,2026-01,test,door_to_door,211,10
82954,2026-01,test,digital_ads,122,3
82954,2026-02,test,door_to_door,92,4
82954,2026-02,test,digital_ads,58,1
82954,2026-03,test,door_to_door,53,2
82954,2026-03,test,digital_ads,81,2
78102,2025-10,test,door_to_door,115,5
78102,2025-10,test,digital_ads,189,4
78102,2025-11,test,door_to_door,87,4
78102,2025-11,test,digital_ads,83,2
78102,2025-12,test,door_to_door,152,6
78102,2025-12,test,digital_ads,122,3
78102,2026-01,test,door_to_door,146,6
78102,2026-01,test,digital_ads,174,4
78102,2026-02,test,door_to_door,180,9
78102,2026-02,test,digital_ads,94,2
78102,2026-03,test,door_to_door,145,7
78102,2026-03,test,digital_ads,190,4
53486,2025-10,test,door_to_door,159,6
53486,2025-10,test,digital_ads,125,3
53486,2025-11,test,door_to_door,91,4
53486,2025-11,test,digital_ads,128,3
53486,2025-12,test,door_to_door,151,6
53486,2025-12,test,digital_ads,82,2
53486,2026-01,test,door_to_door,179,8
53486,2026-01,test,digital_ads,219,5
53486,2026-02,test,door_to_door,161,6
53486,2026-02,test,digital_ads,185,4
53486,2026-03,test,door_to_door,154,7
53486,2026-03,test,digital_ads,168,4
99820,2025-10,test,door_to_door,116,5
99820,2025-10,test,digital_ads,154,4
99820,2025-11,test,door_to_door,172,8
99820,2025-11,test,digital_ads,178,4
99820,2025-12,test,door_to_door,203,10
99820,2025-12,test,digital_ads,132,3
99820,2026-01,test,door_to_door,168,7
99820,2026-01,test,digital_ads,218,5
99820,2026-02,test,door_to_door,120,5
99820,2026-02,test,digital_ads,154,3
99820,2026-03,test,door_to_door,178,8
99820,2026-03,test,digital_ads,141,3
95873,2025-10,test,door_to_door,211,9
95873,2025-10,test,digital_ads,177,4
95873,2025-11,test,door_to_door,150,5
95873,2025-11,test,digital_ads,195,5
95873,2025-12,test,door_to_door,88,4
95873,2025-12,test,digital_ads,165,3
95873,2026-01,test,door_to_door,168,8
95873,2026-01,test,digital_ads,97,2
95873,2026-02,test,door_to_door,50,2
95873,2026-02,test,digital_ads,141,3
95873,2026-03,test,door_to_door,103,3
95873,2026-03,test,digital_ads,157,3
38113,2025-10,test,door_to_door,188,8
38113,2025-10,test,digital_ads,114,3
38113,2025-11,test,door_to_door,112,5
38113,2025-11,test,digital_ads,152,4
38113,2025-12,test,door_to_door,152,7
38113,2025-12,test,digital_ads,142,3
38113,2026-01,test,door_to_door,171,8
38113,2026-01,test,digital_ads,232,6
38113,2026-02,test,door_to_door,149,7
38113,2026-02,test,digital_ads,130,3
38113,2026-03,test,door_to_door,153,7
38113,2026-03,test,digital_ads,199,5
21747,2025-10,test,door_to_door,93,3
21747,2025-10,test,digital_ads,169,4
21747,2025-11,test,door_to_door,88,4
21747,2025-11,test,digital_ads,195,5
21747,2025-12,test,door_to_door,170,7
21747,2025-12,test,digital_ads,175,3
21747,2026-01,test,door_to_door,146,6
21747,2026-01,test,digital_ads,120,3
21747,2026-02,test,door_to_door,165,6
21747,2026-02,test,digital_ads,186,5
21747,2026-03,test,door_to_door,133,6
21747,2026-03,test,digital_ads,186,5
39262,2025-10,test,door_to_door,143,5
39262,2025-10,test,digital_ads,78,1
39262,2025-11,test,door_to_door,143,6
39262,2025-11,test,digital_ads,121,2
39262,2025-12,test,door_to_door,183,8
39262,2025-12,test,digital_ads,118,3
39262,2026-01,test,door_to_door,134,5
39262,2026-01,test,digital_ads,167,4
39262,2026-02,test,door_to_door,161,8
39262,2026-02,test,digital_ads,221,5
39262,2026-03,test,door_to_door,150,6
39262,2026-03,test,digital_ads,182,5
85422,2025-10,test,door_to_door,142,5
85422,2025-10,test,digital_ads,192,5
85422,2025-11,test,door_to_door,93,4
85422,2025-11,test,digital_ads,96,2
85422,2025-12,test,door_to_door,140,6
85422,2025-12,test,digital_ads,163,4
85422,2026-01,test,door_to_door,171,7
85422,2026-01,test,digital_ads,255,6
85422,2026-02,test,door_to_door,210,9
85422,2026-02,test,digital_ads,118,3
85422,2026-03,test,door_to_door,111,5
85422,2026-03,test,digital_ads,142,3
36970,2025-10,test,door_to_door,170,8
36970,2025-10,test,digital_ads,147,3
36970,2025-11,test,door_to_door,138,6
36970,2025-11,test,digital_ads,132,3
36970,2025-12,test,door_to_door,123,5
36970,2025-12,test,digital_ads,204,5
36970,2026-01,test,door_to_door,197,8
36970,2026-01,test,digital_ads,197,5
36970,2026-02,test,door_to_door,143,6
36970,2026-02,test,digital_ads,192,5
36970,2026-03,test,door_to_door,143,6
36970,2026-03,test,digital_ads,182,4
65704,2025-10,test,door_to_door,229,11
65704,2025-10,test,digital_ads,198,4
65704,2025-11,test,door_to_door,153,7
65704,2025-11,test,digital_ads,102,2
65704,2025-12,test,door_to_door,164,7
65704,2025-12,test,digital_ads,103,2
65704,2026-01,test,door_to_door,126,5
65704,2026-01,test,digital_ads,206,5
65704,2026-02,test,door_to_door,191,9
65704,2026-02,test,digital_ads,137,3
65704,2026-03,test,door_to_door,135,6
65704,2026-03,test,digital_ads,172,4
49756,2025-10,test,door_to_door,227,10
49756,2025-10,test,digital_ads,150,4
49756,2025-11,test,door_to_door,197,9
49756,2025-11,test,digital_ads,146,3
49756,2025-12,test,door_to_door,112,5
49756,2025-12,test,digital_ads,175,4
49756,2026-01,test,door_to_door,174,8
49756,2026-01,test,digital_ads,189,5
49756,2026-02,test,door_to_door,169,7
49756,2026-02,test,digital_ads,185,4
49756,2026-03,test,door_to_door,85,4
49756,2026-03,test,digital_ads,217,5
96473,2025-10,test,door_to_door,113,5
96473,2025-10,test,digital_ads,134,3
96473,2025-11,test,door_to_door,130,6
96473,2025-11,test,digital_ads,186,4
96473,2025-12,test,door_to_door,199,9
96473,2025-12,test,digital_ads,163,3
96473,2026-01,test,door_to_door,148,6
96473,2026-01,test,digital_ads,160,3
96473,2026-02,test,door_to_door,162,7
96473,2026-02,test,digital_ads,108,2
96473,2026-03,test,door_to_door,53,2
96473,2026-03,test,digital_ads,208,4
37608,2025-10,test,door_to_door,141,6
37608,2025-10,test,digital_ads,159,3
37608,2025-11,test,door_to_door,181,9
37608,2025-11,test,digital_ads,138,3
37608,2025-12,test,door_to_door,129,6
37608,2025-12,test,digital_ads,166,4
37608,2026-01,test,door_to_door,151,7
37608,2026-01,test,digital_ads,144,3
37608,2026-02,test,door_to_door,92,4
37608,2026-02,test,digital_ads,163,4
37608,2026-03,test,door_to_door,85,3
37608,2026-03,test,digital_ads,125,3
99196,2025-10,test,door_to_door,135,5
99196,2025-10,test,digital_ads,104,2
99196,2025-11,test,door_to_door,104,4
99196,2025-11,test,digital_ads,178,4
99196,2025-12,test,door_to_door,126,5
99196,2025-12,test,digital_ads,159,4
99196,2026-01,test,door_to_door,156,6
99196,2026-01,test,digital_ads,165,4
99196,2026-02,test,door_to_door,139,6
99196,2026-02,test,digital_ads,156,4
99196,2026-03,test,door_to_door,188,8
99196,2026-03,test,digital_ads,150,4
82565,2025-10,test,door_to_door,144,7
82565,2025-10,test,digital_ads,126,3
82565,2025-11,test,door_to_door,136,7
82565,2025-11,test,digital_ads,96,2
82565,2025-12,test,door_to_door,147,6
82565,2025-12,test,digital_ads,102,2
82565,2026-01,test,door_to_door,158,7
82565,2026-01,test,digital_ads,83,2
82565,2026-02,test,door_to_door,117,5
82565,2026-02,test,digital_ads,50,1
82565,2026-03,test,door_to_door,98,4
82565,2026-03,test,digital_ads,112,3
38666,2025-10,control,door_to_door,148,5
38666,2025-10,control,digital_ads,190,3
38666,2025-11,control,door_to_door,108,3
38666,2025-11,control,digital_ads,170,3
38666,2025-12,control,door_to_door,166,5
38666,2025-12,control,digital_ads,144,2
38666,2026-01,control,door_to_door,187,6
38666,2026-01,control,digital_ads,155,3
38666,2026-02,control,door_to_door,96,3
38666,2026-02,control,digital_ads,198,4
38666,2026-03,control,door_to_door,137,4
38666,2026-03,control,digital_ads,211,3
76339,2025-10,control,door_to_door,184,6
76339,2025-10,control,digital_ads,185,3
76339,2025-11,control,door_to_door,76,2
76339,2025-11,control,digital_ads,150,3
76339,2025-12,control,door_to_door,93,3
76339,2025-12,control,digital_ads,124,2
76339,2026-01,control,door_to_door,173,5
76339,2026-01,control,digital_ads,128,1
76339,2026-02,control,door_to_door,200,7
76339,2026-02,control,digital_ads,165,3
76339,2026-03,control,door_to_door,154,5
76339,2026-03,control,digital_ads,178,3
40418,2025-10,control,door_to_door,133,4
40418,2025-10,control,digital_ads,220,4
40418,2025-11,control,door_to_door,101,3
40418,2025-11,control,digital_ads,196,4
40418,2025-12,control,door_to_door,205,7
40418,2025-12,control,digital_ads,137,2
40418,2026-01,control,door_to_door,160,5
40418,2026-01,control,digital_ads,141,2
40418,2026-02,control,door_to_door,148,5
40418,2026-02,control,digital_ads,104,2
40418,2026-03,control,door_to_door,192,6
40418,2026-03,control,digital_ads,133,2
11739,2025-10,control,door_to_door,170,5
11739,2025-10,control,digital_ads,205,4
11739,2025-11,control,door_to_door,164,5
11739,2025-11,control,digital_ads,97,1
11739,2025-12,control,door_to_door,159,4
11739,2025-12,control,digital_ads,84,1
11739,2026-01,control,door_to_door,50,1
11739,2026-01,control,digital_ads,208,3
11739,2026-02,control,door_to_door,135,5
11739,2026-02,control,digital_ads,151,2
11739,2026-03,control,door_to_door,128,4
11739,2026-03,control,digital_ads,158,3
63651,2025-10,control,door_to_door,151,5
63651,2025-10,control,digital_ads,98,2
63651,2025-11,control,door_to_door,180,6
63651,2025-11,control,digital_ads,115,2
63651,2025-12,control,door_to_door,135,4
63651,2025-12,control,digital_ads,121,3
63651,2026-01,control,door_to_door,195,6
63651,2026-01,control,digital_ads,108,2
63651,2026-02,control,door_to_door,115,3
63651,2026-02,control,digital_ads,166,2
63651,2026-03,control,door_to_door,143,5
63651,2026-03,control,digital_ads,207,4
55883,2025-10,control,door_to_door,161,5
55883,2025-10,control,digital_ads,130,3
55883,2025-11,control,door_to_door,139,4
55883,2025-11,control,digital_ads,135,2
55883,2025-12,control,door_to_door,193,6
55883,2025-12,control,digital_ads,159,3
55883,2026-01,control,door_to_door,111,4
55883,2026-01,control,digital_ads,130,2
55883,2026-02,control,door_to_door,217,7
55883,2026-02,control,digital_ads,136,2
55883,2026-03,control,door_to_door,162,5
55883,2026-03,control,digital_ads,181,3
44918,2025-10,control,door_to_door,162,5
44918,2025-10,control,digital_ads,119,2
44918,2025-11,control,door_to_door,77,2
44918,2025-11,control,digital_ads,124,2
44918,2025-12,control,door_to_door,97,3
44918,2025-12,control,digital_ads,93,1
44918,2026-01,control,door_to_door,132,4
44918,2026-01,control,digital_ads,117,2
44918,2026-02,control,door_to_door,138,4
44918,2026-02,control,digital_ads,132,2
44918,2026-03,control,door_to_door,144,5
44918,2026-03,control,digital_ads,117,2
31397,2025-10,control,door_to_door,151,5
31397,2025-10,control,digital_ads,145,2
31397,2025-11,control,door_to_door,141,5
31397,2025-11,control,digital_ads,96,1
31397,2025-12,control,door_to_door,122,3
31397,2025-12,control,digital_ads,131,2
31397,2026-01,control,door_to_door,294,10
31397,2026-01,control,digital_ads,217,5
31397,2026-02,control,door_to_door,163,5
31397,2026-02,control,digital_ads,158,3
31397,2026-03,control,door_to_door,174,5
31397,2026-03,control,digital_ads,121,2
48318,2025-10,control,door_to_door,151,5
48318,2025-10,control,digital_ads,178,3
