zip,month,has_fiber_competitor,our_penetration,connect_rate,competitor_price_monthly
16607,2025-10,0,0.4758,0.0427,
16607,2025-11,0,0.4716,0.0346,
16607,2025-12,0,0.4787,0.0336,
16607,2026-01,0,0.4917,0.0473,
16607,2026-02,0,0.4776,0.0431,
16607,2026-03,0,0.4843,0.046,
16607,2026-04,0,0.5018,0.0339,
16607,2026-05,0,0.4514,0.0406,
16607,2026-06,0,0.4806,0.0495,
33823,2025-10,0,0.4757,0.0505,
33823,2025-11,0,0.4794,0.0531,
33823,2025-12,0,0.4765,0.0573,
33823,2026-01,0,0.4734,0.0657,
33823,2026-02,0,0.5079,0.0364,
33823,2026-03,0,0.4811,0.0501,
33823,2026-04,0,0.4576,0.0325,
33823,2026-05,0,0.4718,0.0468,
33823,2026-06,0,0.4774,0.005,
54744,2025-10,0,0.3865,0.0597,
54744,2025-11,0,0.392,0.028,
54744,2025-12,0,0.3891,0.0502,
54744,2026-01,0,0.3875,0.0407,
54744,2026-02,0,0.3943,0.0341,
54744,2026-03,0,0.4193,0.0378,
54744,2026-04,0,0.4118,0.0526,
54744,2026-05,0,0.4304,0.0421,
54744,2026-06,0,0.4325,0.0464,
84338,2025-10,1,0.4752,0.0231,48.08
84338,2025-11,1,0.4724,0.0256,65.77
84338,2025-12,1,0.4714,0.0351,42.95
84338,2026-01,1,0.4727,0.0215,55.2
84338,2026-02,1,0.4622,0.0183,52.18
84338,2026-03,1,0.4556,0.0283,46.66
84338,2026-04,1,0.4371,0.0291,56.23
84338,2026-05,1,0.4374,0.0341,47.6
84338,2026-06,1,0.4194,0.0153,70.82
82565,2025-10,1,0.4963,0.021,59.03
82565,2025-11,1,0.4952,0.047,48.98
82565,2025-12,1,0.5088,0.0368,66.0
82565,2026-01,1,0.4907,0.0124,49.97
82565,2026-02,1,0.4774,0.038,64.51
82565,2026-03,1,0.4433,0.0181,56.59
82565,2026-04,1,0.4794,0.0117,53.98
82565,2026-05,1,0.4761,0.0405,55.48
82565,2026-06,1,0.4649,0.0192,61.81
71568,2025-10,1,0.4287,0.0348,59.53
71568,2025-11,1,0.4237,0.0423,64.69
71568,2025-12,1,0.4251,0.0385,58.39
71568,2026-01,1,0.4129,0.0321,79.88
71568,2026-02,1,0.4345,0.0212,64.93
71568,2026-03,1,0.4014,0.0427,72.78
71568,2026-04,1,0.4257,0.0361,47.77
71568,2026-05,1,0.4326,0.0346,54.57
71568,2026-06,1,0.4516,0.0418,61.98
97173,2025-10,0,0.536,0.0701,
97173,2025-11,0,0.5412,0.0472,
97173,2025-12,0,0.5454,0.0436,
97173,2026-01,0,0.5425,0.0486,
97173,2026-02,0,0.5211,0.0447,
97173,2026-03,0,0.5564,0.0348,
97173,2026-04,0,0.54,0.04,
97173,2026-05,0,0.5454,0.0424,
97173,2026-06,0,0.5191,0.0443,
39661,2025-10,0,0.583,0.035,
39661,2025-11,0,0.58,0.0312,
39661,2025-12,0,0.5717,0.0631,
39661,2026-01,0,0.587,0.0364,
39661,2026-02,0,0.5921,0.0338,
39661,2026-03,0,0.5905,0.0326,
39661,2026-04,0,0.5883,0.0575,
39661,2026-05,0,0.588,0.0307,
39661,2026-06,0,0.5751,0.0431,
30476,2025-10,1,0.3642,0.028,46.51
30476,2025-11,1,0.362,0.0218,42.55
30476,2025-12,1,0.3512,0.0351,54.83
30476,2026-01,1,0.3691,0.0332,71.99
30476,2026-02,1,0.3766,0.0245,58.31
30476,2026-03,1,0.3769,0.0192,51.62
30476,2026-04,1,0.3418,0.0231,67.6
30476,2026-05,1,0.3087,0.0201,60.48
30476,2026-06,1,0.3471,0.036,57.79
57943,2025-10,1,0.2601,0.0311,43.81
57943,2025-11,1,0.2624,0.0236,55.89
57943,2025-12,1,0.2571,0.0341,57.03
57943,2026-01,1,0.2607,0.0259,62.77
57943,2026-02,1,0.2447,0.021,58.09
57943,2026-03,1,0.2746,0.024,45.47
57943,2026-04,1,0.2651,0.026,59.92
57943,2026-05,1,0.249,0.0374,62.99
57943,2026-06,1,0.2342,0.0259,66.24
96434,2025-10,0,0.5149,0.0395,
96434,2025-11,0,0.513,0.0623,
96434,2025-12,0,0.5068,0.0509,
96434,2026-01,0,0.5333,0.0431,
96434,2026-02,0,0.5269,0.0532,
96434,2026-03,0,0.5185,0.026,
96434,2026-04,0,0.5446,0.0414,
96434,2026-05,0,0.4947,0.0502,
96434,2026-06,0,0.5275,0.0285,
92391,2025-10,1,0.3529,0.0311,42.54
92391,2025-11,1,0.3473,0.0329,53.34
92391,2025-12,1,0.3546,0.0437,56.48
92391,2026-01,1,0.3538,0.035,56.38
92391,2026-02,1,0.3375,0.02,58.21
92391,2026-03,1,0.3119,0.0272,68.95
92391,2026-04,1,0.3086,0.0344,60.53
92391,2026-05,1,0.3047,0.0254,56.19
92391,2026-06,1,0.3527,0.0378,47.32
28094,2025-10,1,0.4408,0.0257,68.1
28094,2025-11,1,0.4396,0.0265,56.35
28094,2025-12,1,0.4396,0.0347,52.09
28094,2026-01,1,0.4395,0.0278,52.04
28094,2026-02,1,0.4443,0.0093,65.31
28094,2026-03,1,0.4202,0.0308,53.22
28094,2026-04,1,0.4203,0.0231,63.14
28094,2026-05,1,0.4314,0.0376,48.84
28094,2026-06,1,0.4362,0.0223,44.6
44535,2025-10,1,0.3321,0.0305,36.85
44535,2025-11,1,0.3317,0.0266,56.11
44535,2025-12,1,0.3365,0.0234,63.24
44535,2026-01,1,0.3346,0.0274,55.98
44535,2026-02,1,0.324,0.0257,44.01
44535,2026-03,1,0.3777,0.0201,56.51
44535,2026-04,1,0.331,0.0288,51.09
44535,2026-05,1,0.322,0.031,65.88
44535,2026-06,1,0.337,0.0327,59.54
34955,2025-10,1,0.4176,0.029,68.1
34955,2025-11,1,0.4157,0.0389,49.81
34955,2025-12,1,0.4104,0.0309,65.17
34955,2026-01,1,0.4051,0.0302,48.31
34955,2026-02,1,0.4396,0.0313,45.43
34955,2026-03,1,0.4266,0.0422,54.43
34955,2026-04,1,0.4076,0.0197,62.55
34955,2026-05,1,0.3767,0.0333,65.26
34955,2026-06,1,0.3993,0.0211,73.88
20366,2025-10,1,0.4524,0.0352,54.51
20366,2025-11,1,0.453,0.0263,49.97
20366,2025-12,1,0.4489,0.0308,52.15
20366,2026-01,1,0.4434,0.0445,56.29
20366,2026-02,1,0.4513,0.0437,42.67
20366,2026-03,1,0.444,0.038,63.69
20366,2026-04,1,0.4508,0.0331,57.69
20366,2026-05,1,0.4167,0.0364,59.1
20366,2026-06,1,0.4123,0.0377,46.68
50550,2025-10,0,0.4697,0.0518,
50550,2025-11,0,0.4668,0.0391,
50550,2025-12,0,0.4778,0.0394,
50550,2026-01,0,0.4719,0.0276,
50550,2026-02,0,0.4754,0.0572,
50550,2026-03,0,0.49,0.0396,
50550,2026-04,0,0.472,0.0308,
50550,2026-05,0,0.4987,0.0385,
50550,2026-06,0,0.5039,0.0362,
21747,2025-10,1,0.3666,0.0499,52.7
21747,2025-11,1,0.3643,0.0137,57.36
21747,2025-12,1,0.365,0.0252,58.57
21747,2026-01,1,0.3768,0.0426,59.71
21747,2026-02,1,0.3551,0.0131,54.4
21747,2026-03,1,0.3592,0.0276,59.06
21747,2026-04,1,0.3373,0.0206,55.04
21747,2026-05,1,0.3498,0.0266,48.53
21747,2026-06,1,0.3174,0.0313,55.67
84185,2025-10,0,0.3843,0.047,
84185,2025-11,0,0.3835,0.0482,
84185,2025-12,0,0.3876,0.0456,
84185,2026-01,0,0.3803,0.0503,
84185,2026-02,0,0.4055,0.0416,
84185,2026-03,0,0.3713,0.0297,
84185,2026-04,0,0.3857,0.0363,
84185,2026-05,0,0.4054,0.0328,
84185,2026-06,0,0.3737,0.0484,
36136,2025-10,0,0.4728,0.0191,
36136,2025-11,0,0.4746,0.0411,
36136,2025-12,0,0.4742,0.0584,
36136,2026-01,0,0.4773,0.0463,
36136,2026-02,0,0.4747,0.0482,
36136,2026-03,0,0.4623,0.0334,
36136,2026-04,0,0.4831,0.0362,
36136,2026-05,0,0.4711,0.0466,
36136,2026-06,0,0.511,0.0403,
71094,2025-10,0,0.4425,0.0356,
71094,2025-11,0,0.4391,0.0344,
71094,2025-12,0,0.4607,0.0526,
71094,2026-01,0,0.4321,0.0499,
71094,2026-02,0,0.4467,0.0371,
71094,2026-03,0,0.4457,0.0449,
71094,2026-04,0,0.4601,0.0369,
71094,2026-05,0,0.4467,0.0382,
71094,2026-06,0,0.44,0.0531,
82481,2025-10,0,0.5377,0.0479,
82481,2025-11,0,0.5367,0.0499,
82481,2025-12,0,0.538,0.0423,
82481,2026-01,0,0.5463,0.0346,
82481,2026-02,0,0.5433,0.0539,
82481,2026-03,0,0.5506,0.0431,
82481,2026-04,0,0.5428,0.05,
82481,2026-05,0,0.5862,0.0471,
82481,2026-06,0,0.5747,0.0457,
24665,2025-10,1,0.4329,0.0302,41.68
24665,2025-11,1,0.4295,0.0141,48.35
24665,2025-12,1,0.4359,0.0153,56.99
24665,2026-01,1,0.4407,0.039,68.44
24665,2026-02,1,0.438,0.0293,63.1
24665,2026-03,1,0.4484,0.0268,78.47
24665,2026-04,1,0.4165,0.0221,63.86
24665,2026-05,1,0.449,0.0333,48.85
24665,2026-06,1,0.4449,0.0431,65.87
23944,2025-10,1,0.3033,0.0355,60.2
23944,2025-11,1,0.2993,0.0314,59.12
23944,2025-12,1,0.3002,0.0105,34.8
23944,2026-01,1,0.301,0.0187,49.29
23944,2026-02,1,0.3095,0.0264,71.4
23944,2026-03,1,0.2884,0.0286,56.33
23944,2026-04,1,0.2992,0.0324,55.49
23944,2026-05,1,0.256,0.0429,60.0
23944,2026-06,1,0.2498,0.0388,47.33
15712,2025-10,0,0.5811,0.0365,
15712,2025-11,0,0.581,0.0457,
15712,2025-12,0,0.5739,0.0376,
15712,2026-01,0,0.5902,0.0355,
15712,2026-02,0,0.5805,0.041,
15712,2026-03,0,0.5907,0.0388,
15712,2026-04,0,0.5967,0.0426,
15712,2026-05,0,0.6037,0.0627,
15712,2026-06,0,0.5779,0.0478,
92139,2025-10,1,0.3603,0.0279,32.32
92139,2025-11,1,0.3599,0.0246,44.82
92139,2025-12,1,0.3626,0.0452,49.68
92139,2026-01,1,0.3303,0.026,50.49
92139,2026-02,1,0.3453,0.0205,59.92
92139,2026-03,1,0.3187,0.0299,55.9
92139,2026-04,1,0.3615,0.0364,51.94
92139,2026-05,1,0.3534,0.0257,52.84
92139,2026-06,1,0.3582,0.038,49.45
37754,2025-10,1,0.3485,0.0295,58.65
37754,2025-11,1,0.3481,0.0381,56.02
37754,2025-12,1,0.3498,0.0136,49.25
37754,2026-01,1,0.3346,0.0258,47.78
37754,2026-02,1,0.3154,0.0306,40.52
37754,2026-03,1,0.3651,0.0249,46.26
37754,2026-04,1,0.3513,0.0323,34.85
37754,2026-05,1,0.3131,0.0219,33.42
37754,2026-06,1,0.3126,0.025,56.94
14200,2025-10,0,0.561,0.0467,
14200,2025-11,0,0.5589,0.0312,
14200,2025-12,0,0.5648,0.029,
14200,2026-01,0,0.5542,0.0528,
14200,2026-02,0,0.5548,0.0468,
14200,2026-03,0,0.5875,0.0388,
14200,2026-04,0,0.5781,0.0442,
14200,2026-05,0,0.5751,0.0144,
14200,2026-06,0,0.5616,0.0387,
66911,2025-10,1,0.3945,0.0326,52.93
66911,2025-11,1,0.3899,0.0375,49.69
66911,2025-12,1,0.3905,0.0355,37.29
66911,2026-01,1,0.3715,0.0335,64.13
66911,2026-02,1,0.3984,0.0375,51.56
66911,2026-03,1,0.3818,0.0313,61.2
66911,2026-04,1,0.4063,0.0368,50.68
66911,2026-05,1,0.3983,0.0226,57.94
66911,2026-06,1,0.3443,0.045,37.08
48002,2025-10,0,0.5845,0.0413,
48002,2025-11,0,0.5875,0.0399,
48002,2025-12,0,0.5835,0.0371,
48002,2026-01,0,0.5883,0.0505,
48002,2026-02,0,0.5957,0.0353,
48002,2026-03,0,0.5833,0.0321,
48002,2026-04,0,0.5635,0.042,
48002,2026-05,0,0.6086,0.0395,
48002,2026-06,0,0.5524,0.0256,
33562,2025-10,0,0.4533,0.0387,
33562,2025-11,0,0.4607,0.0338,
33562,2025-12,0,0.4569,0.0418,
33562,2026-01,0,0.4497,0.0511,
33562,2026-02,0,0.4579,0.0346,
33562,2026-03,0,0.4483,0.0436,
33562,2026-04,0,0.4453,0.0409,
33562,2026-05,0,0.453,0.0453,
33562,2026-06,0,0.4019,0.0502,
34725,2025-10,1,0.4005,0.0363,61.02
34725,2025-11,1,0.4012,0.0211,52.17
34725,2025-12,1,0.4039,0.036,43.17
34725,2026-01,1,0.3897,0.0193,53.82
34725,2026-02,1,0.3979,0.0228,59.25
34725,2026-03,1,0.3953,0.0374,50.35
34725,2026-04,1,0.3768,0.0209,55.6
34725,2026-05,1,0.391,0.0276,58.31
34725,2026-06,1,0.3996,0.0364,44.41
39262,2025-10,0,0.613,0.0447,
39262,2025-11,0,0.6191,0.0507,
39262,2025-12,0,0.6272,0.0484,
39262,2026-01,0,0.6131,0.0409,
39262,2026-02,0,0.6213,0.0209,
39262,2026-03,0,0.6262,0.0419,
39262,2026-04,0,0.5983,0.0309,
39262,2026-05,0,0.6101,0.0487,
39262,2026-06,0,0.6001,0.036,
19147,2025-10,0,0.6748,0.0423,
19147,2025-11,0,0.6742,0.0561,
19147,2025-12,0,0.6729,0.0481,
19147,2026-01,0,0.6694,0.0396,
19147,2026-02,0,0.6821,0.0392,
19147,2026-03,0,0.7017,0.0538,
19147,2026-04,0,0.6811,0.0382,
19147,2026-05,0,0.6683,0.046,
19147,2026-06,0,0.7382,0.0629,
99082,2025-10,1,0.3667,0.0382,50.79
99082,2025-11,1,0.3644,0.0239,65.02
99082,2025-12,1,0.3652,0.0266,50.07
99082,2026-01,1,0.355,0.0211,67.63
99082,2026-02,1,0.3609,0.0384,55.0
99082,2026-03,1,0.3382,0.0454,76.71
99082,2026-04,1,0.3536,0.0375,44.43
99082,2026-05,1,0.3468,0.0217,45.17
99082,2026-06,1,0.338,0.0393,65.19
36218,2025-10,0,0.5035,0.0472,
36218,2025-11,0,0.4978,0.0489,
36218,2025-12,0,0.4985,0.0443,
36218,2026-01,0,0.5149,0.0306,
36218,2026-02,0,0.4937,0.0406,
36218,2026-03,0,0.5199,0.0512,
36218,2026-04,0,0.5182,0.0469,
36218,2026-05,0,0.5144,0.06,
36218,2026-06,0,0.5117,0.0522,
36970,2025-10,0,0.4971,0.0272,
36970,2025-11,0,0.5024,0.0369,
36970,2025-12,0,0.5052,0.0488,
36970,2026-01,0,0.5101,0.0364,
36970,2026-02,0,0.5013,0.0466,
36970,2026-03,0,0.5191,0.0594,
36970,2026-04,0,0.4974,0.0413,
36970,2026-05,0,0.5338,0.0518,
36970,2026-06,0,0.5077,0.0218,
50859,2025-10,1,0.3059,0.0182,64.98
50859,2025-11,1,0.3036,0.0271,57.34
50859,2025-12,1,0.3119,0.0232,59.22
50859,2026-01,1,0.3102,0.0272,62.12
50859,2026-02,1,0.2896,0.0101,57.39
50859,2026-03,1,0.2877,0.022,53.2
50859,2026-04,1,0.2932,0.0351,53.31
50859,2026-05,1,0.3052,0.0291,48.11
50859,2026-06,1,0.2854,0.0073,54.51
43481,2025-10,0,0.3919,0.0446,
43481,2025-11,0,0.3935,0.0327,
43481,2025-12,0,0.3956,0.0356,
43481,2026-01,0,0.3838,0.0374,
43481,2026-02,0,0.3973,0.0258,
43481,2026-03,0,0.4106,0.0225,
43481,2026-04,0,0.417,0.0473,
43481,2026-05,0,0.375,0.038,
43481,2026-06,0,0.4051,0.0427,
34200,2025-10,1,0.4297,0.0458,53.16
34200,2025-11,1,0.4323,0.0181,49.74
34200,2025-12,1,0.4233,0.0308,55.81
34200,2026-01,1,0.4153,0.0313,62.83
34200,2026-02,1,0.409,0.0379,60.65
34200,2026-03,1,0.3956,0.0255,62.98
34200,2026-04,1,0.4202,0.0352,39.35
34200,2026-05,1,0.4155,0.0349,50.32
34200,2026-06,1,0.3905,0.0268,46.05
82954,2025-10,0,0.491,0.0244,
82954,2025-11,0,0.4867,0.0662,
82954,2025-12,0,0.4944,0.035,
82954,2026-01,0,0.4768,0.036,
82954,2026-02,0,0.4741,0.0385,
82954,2026-03,0,0.4653,0.0599,
82954,2026-04,0,0.505,0.0339,
82954,2026-05,0,0.4704,0.0393,
82954,2026-06,0,0.5377,0.0461,
24944,2025-10,0,0.5513,0.0521,
24944,2025-11,0,0.5489,0.0591,
24944,2025-12,0,0.5536,0.0264,
24944,2026-01,0,0.5444,0.0472,
24944,2026-02,0,0.5282,0.0428,
24944,2026-03,0,0.5597,0.0341,
24944,2026-04,0,0.5457,0.0366,
24944,2026-05,0,0.552,0.0315,
24944,2026-06,0,0.5528,0.0343,
38113,2025-10,0,0.5383,0.0317,
38113,2025-11,0,0.5397,0.0487,
38113,2025-12,0,0.5379,0.0144,
38113,2026-01,0,0.5375,0.0482,
38113,2026-02,0,0.5516,0.0535,
38113,2026-03,0,0.5289,0.0267,
38113,2026-04,0,0.531,0.0267,
38113,2026-05,0,0.5413,0.0209,
38113,2026-06,0,0.5351,0.0556,
57668,2025-10,1,0.3363,0.0316,53.61
57668,2025-11,1,0.3344,0.0348,50.46
57668,2025-12,1,0.3249,0.0238,62.76
57668,2026-01,1,0.3238,0.0399,49.66
57668,2026-02,1,0.3336,0.0413,48.45
57668,2026-03,1,0.3243,0.042,48.12
57668,2026-04,1,0.3276,0.0148,49.19
57668,2026-05,1,0.339,0.0317,58.58
57668,2026-06,1,0.3371,0.0329,39.14
70755,2025-10,1,0.3601,0.0378,48.73
70755,2025-11,1,0.3566,0.0343,66.78
70755,2025-12,1,0.3622,0.028,42.25
70755,2026-01,1,0.3339,0.0354,53.78
70755,2026-02,1,0.3582,0.0303,55.62
70755,2026-03,1,0.3549,0.0224,70.08
70755,2026-04,1,0.3502,0.0412,61.62
70755,2026-05,1,0.3469,0.0358,52.33
70755,2026-06,1,0.3239,0.0318,57.39
71934,2025-10,0,0.4748,0.0395,
71934,2025-11,0,0.4722,0.0366,
71934,2025-12,0,0.4791,0.0433,
71934,2026-01,0,0.4963,0.0373,
71934,2026-02,0,0.4896,0.0401,
71934,2026-03,0,0.4834,0.049,
71934,2026-04,0,0.4827,0.0354,
71934,2026-05,0,0.4814,0.0479,
71934,2026-06,0,0.5042,0.0401,
14646,2025-10,0,0.6323,0.0362,
14646,2025-11,0,0.6366,0.0201,
14646,2025-12,0,0.6183,0.0383,
14646,2026-01,0,0.6203,0.0422,
14646,2026-02,0,0.6437,0.0635,
14646,2026-03,0,0.6512,0.0515,
14646,2026-04,0,0.6701,0.0574,
14646,2026-05,0,0.6891,0.0447,
14646,2026-06,0,0.6613,0.0337,
21437,2025-10,1,0.4471,0.0242,40.12
21437,2025-11,1,0.4431,0.0243,50.64
21437,2025-12,1,0.4357,0.0261,38.19
21437,2026-01,1,0.4402,0.0269,52.84
21437,2026-02,1,0.4535,0.0246,60.03
21437,2026-03,1,0.4081,0.033,57.25
21437,2026-04,1,0.4224,0.0282,58.64
21437,2026-05,1,0.4727,0.0398,62.21
21437,2026-06,1,0.4082,0.0264,67.53
21864,2025-10,1,0.3769,0.0187,37.85
21864,2025-11,1,0.375,0.0189,45.85
21864,2025-12,1,0.3687,0.0229,72.36
21864,2026-01,1,0.358,0.0343,53.08
21864,2026-02,1,0.3654,0.0314,63.63
21864,2026-03,1,0.3364,0.0218,54.97
21864,2026-04,1,0.3542,0.0208,64.19
21864,2026-05,1,0.3484,0.0398,64.41
21864,2026-06,1,0.3635,0.0288,62.33
85422,2025-10,0,0.4255,0.0412,
85422,2025-11,0,0.4209,0.0541,
85422,2025-12,0,0.4286,0.0468,
85422,2026-01,0,0.4188,0.0306,
85422,2026-02,0,0.4303,0.0376,
85422,2026-03,0,0.4393,0.046,
85422,2026-04,0,0.4189,0.0569,
85422,2026-05,0,0.4522,0.0575,
85422,2026-06,0,0.4561,0.0439,
82951,2025-10,1,0.3779,0.0261,64.39
82951,2025-11,1,0.3738,0.025,61.67
82951,2025-12,1,0.3892,0.021,46.17
82951,2026-01,1,0.3773,0.0356,39.63
82951,2026-02,1,0.3828,0.02,64.94
82951,2026-03,1,0.3867,0.0273,66.25
82951,2026-04,1,0.3625,0.0343,68.9
82951,2026-05,1,0.3587,0.0105,50.48
82951,2026-06,1,0.4032,0.0332,40.7
55883,2025-10,0,0.4406,0.0355,
55883,2025-11,0,0.4385,0.0617,
55883,2025-12,0,0.4467,0.047,
55883,2026-01,0,0.4494,0.024,
55883,2026-02,0,0.4651,0.0556,
55883,2026-03,0,0.4649,0.0419,
55883,2026-04,0,0.4728,0.0465,
55883,2026-05,0,0.4546,0.0297,
55883,2026-06,0,0.4982,0.0522,
96473,2025-10,1,0.4501,0.0304,65.26
96473,2025-11,1,0.4524,0.0289,41.78
96473,2025-12,1,0.4428,0.0265,52.05
96473,2026-01,1,0.4333,0.0337,50.24
96473,2026-02,1,0.4485,0.0357,53.17
96473,2026-03,1,0.4491,0.0267,65.26
96473,2026-04,1,0.4358,0.0338,44.91
96473,2026-05,1,0.4209,0.0149,51.64
96473,2026-06,1,0.4788,0.0252,55.51
59197,2025-10,1,0.3334,0.0302,51.91
59197,2025-11,1,0.3332,0.0338,43.89
59197,2025-12,1,0.3218,0.0202,71.92
59197,2026-01,1,0.3281,0.0304,66.92
59197,2026-02,1,0.333,0.0239,68.35
59197,2026-03,1,0.3298,0.0241,50.58
59197,2026-04,1,0.2998,0.0209,59.18
59197,2026-05,1,0.3075,0.0201,49.62
59197,2026-06,1,0.3123,0.0219,42.79
44517,2025-10,0,0.5526,0.0241,
44517,2025-11,0,0.5549,0.0328,
44517,2025-12,0,0.5489,0.0494,
44517,2026-01,0,0.5465,0.0505,
44517,2026-02,0,0.5787,0.0407,
44517,2026-03,0,0.5604,0.0308,
44517,2026-04,0,0.5459,0.0446,
44517,2026-05,0,0.5464,0.0468,
44517,2026-06,0,0.5255,0.0337,
31609,2025-10,0,0.5964,0.0528,
31609,2025-11,0,0.598,0.0435,
31609,2025-12,0,0.591,0.0478,
31609,2026-01,0,0.6009,0.0447,
31609,2026-02,0,0.5861,0.0266,
31609,2026-03,0,0.6035,0.0337,
31609,2026-04,0,0.618,0.0207,
31609,2026-05,0,0.593,0.0448,
31609,2026-06,0,0.5684,0.061,
94681,2025-10,1,0.4125,0.0424,46.6
94681,2025-11,1,0.4133,0.0344,50.64
94681,2025-12,1,0.4023,0.0248,38.71
94681,2026-01,1,0.4096,0.0435,45.31
94681,2026-02,1,0.3887,0.0239,46.6
94681,2026-03,1,0.3758,0.0307,43.16
94681,2026-04,1,0.387,0.0292,51.29
94681,2026-05,1,0.392,0.0243,57.57
94681,2026-06,1,0.4089,0.0351,46.79
81963,2025-10,0,0.5367,0.0331,
81963,2025-11,0,0.5362,0.0483,
81963,2025-12,0,0.539,0.039,
81963,2026-01,0,0.5306,0.0458,
81963,2026-02,0,0.5168,0.045,
81963,2026-03,0,0.5521,0.0544,
81963,2026-04,0,0.5251,0.0494,
81963,2026-05,0,0.525,0.0435,
81963,2026-06,0,0.5638,0.0427,
47558,2025-10,0,0.6492,0.0479,
47558,2025-11,0,0.6503,0.0505,
47558,2025-12,0,0.6573,0.036,
47558,2026-01,0,0.6482,0.0511,
47558,2026-02,0,0.655,0.0445,
47558,2026-03,0,0.6693,0.0321,
47558,2026-04,0,0.6655,0.0593,
47558,2026-05,0,0.6621,0.0564,
47558,2026-06,0,0.6596,0.0383,
48318,2025-10,0,0.3992,0.0345,
48318,2025-11,0,0.4012,0.0241,
48318,2025-12,0,0.4017,0.0416,
48318,2026-01,0,0.42,0.0331,
48318,2026-02,0,0.3939,0.0352,
48318,2026-03,0,0.4069,0.0453,
48318,2026-04,0,0.4369,0.0474,
48318,2026-05,0,0.441,0.0533,
48318,2026-06,0,0.4232,0.0473,
74521,2025-10,0,0.5391,0.0333,
74521,2025-11,0,0.5413,0.0443,
74521,2025-12,0,0.5369,0.041,
74521,2026-01,0,0.5235,0.0353,
74521,2026-02,0,0.5354,0.0588,
74521,2026-03,0,0.5533,0.0426,
74521,2026-04,0,0.5617,0.0507,
74521,2026-05,0,0.539,0.0396,
74521,2026-06,0,0.5721,0.0259,
