customer_id,zip,tenure_months,product_tier,monthly_revenue,has_mobile,clv
C0000036,95846,8,Standard_300Mbps,65.83,0,3946.33
C0000037,33693,21,Basic_100Mbps,54.61,0,3178.18
C0000038,84147,10,Performance_500Mbps,98.44,1,4945.57
C0000039,49756,85,Performance_500Mbps,91.0,0,4214.2
C0000040,71413,36,Performance_500Mbps,80.88,0,4260.86
C0000041,44145,40,Basic_100Mbps,43.47,0,2132.93
C0000042,21931,33,Standard_300Mbps,77.55,0,3718.53
C0000043,38047,56,Standard_300Mbps,65.28,0,2410.79
C0000044,70169,25,Basic_100Mbps,60.77,0,3537.19
C0000045,32768,72,Standard_300Mbps,62.9,0,2769.19
C0000046,33562,1,Gigabit_1000Mbps,82.26,0,4496.07
C0000047,76339,57,Gigabit_1000Mbps,95.92,0,4974.83
C0000048,16607,1,Basic_100Mbps,51.26,0,3263.58
C0000049,84155,14,Standard_300Mbps,68.14,0,4112.51
C0000050,54807,21,Standard_300Mbps,55.31,1,3001.59
C0000051,24665,29,Basic_100Mbps,41.78,0,2076.23
C0000052,25352,84,Basic_100Mbps,50.42,0,1675.63
C0000053,42290,82,Basic_100Mbps,51.38,0,1896.94
C0000054,26270,61,Gigabit_Pro_2000Mbps,140.34,0,6383.81
C0000055,13234,148,Performance_500Mbps,68.48,0,1471.06
C0000056,50550,12,Basic_100Mbps,53.76,0,3346.91
C0000057,11957,48,Standard_300Mbps,60.23,0,2833.35
C0000058,70968,2,Standard_300Mbps,75.07,0,4568.36
C0000059,10348,13,Standard_300Mbps,71.31,0,4083.84
C0000060,71934,14,Gigabit_1000Mbps,100.31,1,5757.0
C0000061,64810,10,Basic_100Mbps,55.19,0,2835.66
C0000062,12914,134,Gigabit_1000Mbps,74.46,1,2091.5
C0000063,14646,104,Standard_300Mbps,54.52,0,1539.86
C0000064,23801,17,Basic_100Mbps,55.14,0,2777.8
C0000065,19147,16,Standard_300Mbps,71.16,0,3945.52
C0000066,98559,24,Basic_100Mbps,43.71,0,2350.6
C0000067,14646,20,Gigabit_1000Mbps,83.14,0,4132.65
C0000068,67946,12,Standard_300Mbps,61.55,1,2970.81
C0000069,81021,11,Gigabit_1000Mbps,110.68,1,5349.93
C0000070,82481,96,Standard_300Mbps,68.59,1,2581.35
C0000071,18342,8,Standard_300Mbps,51.72,0,3031.29
C0000072,82563,18,Standard_300Mbps,67.46,0,3924.02
C0000073,95873,42,Basic_100Mbps,47.62,0,2496.57
C0000074,33314,130,Standard_300Mbps,70.35,1,1965.07
C0000075,94681,44,Standard_300Mbps,72.53,0,3667.03
C0000076,43102,28,Gigabit_Pro_2000Mbps,107.94,0,5875.67
C0000077,33693,22,Standard_300Mbps,73.55,0,4568.53
C0000078,23944,37,Basic_100Mbps,37.58,0,1904.15
C0000079,57668,41,Standard_300Mbps,70.95,1,4576.99
C0000080,44918,177,Standard_300Mbps,61.52,0,836.87
C0000081,33693,15,Basic_100Mbps,58.03,0,3271.7
C0000082,73118,8,Standard_300Mbps,71.4,0,5079.1
C0000083,48002,19,Basic_100Mbps,66.15,0,3392.68
C0000084,49849,10,Basic_100Mbps,40.86,0,2417.23
C0000085,80363,1,Performance_500Mbps,95.35,1,5418.24
C0000086,82954,123,Performance_500Mbps,77.89,0,2191.82
C0000087,84185,2,Basic_100Mbps,50.38,0,3520.91
C0000088,82565,23,Standard_300Mbps,73.07,0,3883.28
C0000089,38113,23,Performance_500Mbps,81.48,0,4983.77
C0000090,63651,7,Basic_100Mbps,43.59,0,2710.65
C0000091,98436,31,Performance_500Mbps,63.3,0,3090.58
C0000092,71094,62,Gigabit_1000Mbps,126.84,1,6440.46
C0000093,63905,75,Gigabit_1000Mbps,103.43,0,3546.68
C0000094,92374,16,Gigabit_Pro_2000Mbps,107.84,1,6073.56
C0000095,26899,7,Basic_100Mbps,41.28,0,2419.95
C0000096,94681,25,Standard_300Mbps,57.55,0,3293.55
C0000097,14644,4,Performance_500Mbps,95.63,0,5917.79
C0000098,71228,68,Performance_500Mbps,60.05,1,2718.01
C0000099,48002,22,Standard_300Mbps,66.27,0,3332.21
C0000100,26270,79,Performance_500Mbps,87.4,1,3512.25
C0000101,84185,1,Performance_500Mbps,99.65,0,6176.55
C0000102,85846,67,Basic_100Mbps,38.28,0,1705.85
C0000103,59197,10,Performance_500Mbps,83.95,1,4995.83
C0000104,84147,112,Standard_300Mbps,77.89,0,2768.12
C0000105,71934,2,Performance_500Mbps,92.8,1,5296.3
C0000106,81021,65,Gigabit_1000Mbps,73.86,1,3433.56
C0000107,38047,27,Standard_300Mbps,61.85,0,3704.95
C0000108,76290,7,Standard_300Mbps,60.67,0,3550.37
C0000109,24086,20,Standard_300Mbps,57.85,1,3406.22
C0000110,44918,13,Performance_500Mbps,88.88,0,6074.68
C0000111,21551,9,Basic_100Mbps,54.93,0,3166.53
C0000112,11739,34,Standard_300Mbps,64.38,0,2964.13
C0000113,11957,40,Gigabit_Pro_2000Mbps,106.84,0,4945.79
C0000114,82481,4,Standard_300Mbps,71.03,0,4291.61
C0000115,70968,46,Standard_300Mbps,60.62,0,2724.02
C0000116,92139,23,Gigabit_Pro_2000Mbps,125.89,1,6693.95
C0000117,22726,27,Performance_500Mbps,95.35,0,4792.41
C0000118,82925,49,Gigabit_1000Mbps,98.72,0,4018.72
C0000119,63905,20,Basic_100Mbps,47.43,0,2334.5
C0000120,76339,32,Performance_500Mbps,84.2,1,4044.3
C0000121,39460,25,Standard_300Mbps,74.96,0,3454.78
C0000122,59214,4,Gigabit_Pro_2000Mbps,106.65,1,6760.1
C0000123,70434,20,Standard_300Mbps,74.54,0,3505.16
C0000124,37608,65,Basic_100Mbps,56.1,0,2360.18
C0000125,23394,1,Gigabit_1000Mbps,93.74,1,6007.07
C0000126,26270,1,Gigabit_1000Mbps,96.68,1,5463.38
C0000127,39262,95,Basic_100Mbps,45.02,0,1287.74
C0000128,21437,61,Basic_100Mbps,54.73,0,2595.41
C0000129,72611,1,Basic_100Mbps,54.6,0,3248.09
C0000130,81299,98,Gigabit_1000Mbps,108.24,1,4325.7
C0000131,39367,12,Standard_300Mbps,66.26,0,3799.33
C0000132,59197,21,Performance_500Mbps,87.65,0,5544.4
C0000133,30476,9,Basic_100Mbps,45.5,1,2350.53
C0000134,59214,7,Gigabit_1000Mbps,96.01,0,4768.73
C0000135,63870,4,Gigabit_1000Mbps,119.16,0,6912.56
C0000136,44918,42,Performance_500Mbps,89.65,0,4708.67
C0000137,96434,1,Performance_500Mbps,93.16,1,5423.75
C0000138,22457,17,Basic_100Mbps,52.99,0,2782.35
C0000139,44517,21,Basic_100Mbps,41.31,0,2664.25
C0000140,71094,12,Standard_300Mbps,71.61,0,4609.18
C0000141,33314,10,Basic_100Mbps,61.64,0,3579.82
C0000142,37608,34,Standard_300Mbps,72.13,0,3892.96
C0000143,40418,63,Gigabit_1000Mbps,79.18,1,4284.28
C0000144,15712,25,Basic_100Mbps,50.9,0,2858.02
C0000145,99179,44,Performance_500Mbps,69.15,0,2993.79
C0000146,17727,47,Gigabit_1000Mbps,107.14,1,5324.84
C0000147,44939,85,Gigabit_Pro_2000Mbps,113.55,1,5121.83
C0000148,10348,47,Standard_300Mbps,76.54,0,3363.4
C0000149,21437,11,Performance_500Mbps,92.18,0,6278.31
C0000150,71568,7,Basic_100Mbps,46.91,0,2297.32
C0000151,48002,85,Basic_100Mbps,47.04,0,1645.14
C0000152,84185,52,Basic_100Mbps,46.38,0,2113.12
C0000153,54744,35,Basic_100Mbps,46.07,0,1947.37
C0000154,33693,106,Standard_300Mbps,62.79,0,1770.89
C0000155,16607,40,Performance_500Mbps,90.69,1,4208.49
C0000156,82563,36,Gigabit_Pro_2000Mbps,113.86,0,6644.8
C0000157,70434,73,Performance_500Mbps,83.97,0,3718.25
C0000158,50623,55,Performance_500Mbps,93.84,0,3931.96
C0000159,21551,12,Gigabit_1000Mbps,99.72,0,6088.96
C0000160,96434,24,Basic_100Mbps,48.89,0,2689.28
C0000161,50859,38,Basic_100Mbps,45.01,1,2508.01
C0000162,84185,9,Performance_500Mbps,87.45,0,5067.67
C0000163,30476,36,Basic_100Mbps,41.97,0,2285.34
C0000164,21437,48,Standard_300Mbps,75.79,0,3826.47
C0000165,15642,11,Gigabit_Pro_2000Mbps,106.81,0,6027.66
C0000166,41092,11,Basic_100Mbps,46.15,0,2749.87
C0000167,14200,180,Basic_100Mbps,51.06,0,1036.92
C0000168,64810,16,Performance_500Mbps,79.88,0,4442.44
C0000169,27636,1,Performance_500Mbps,82.98,1,4867.19
C0000170,97554,6,Basic_100Mbps,46.72,0,2645.71
C0000171,82563,50,Standard_300Mbps,56.33,0,3159.33
C0000172,79069,40,Performance_500Mbps,79.8,0,3138.07
C0000173,99082,64,Gigabit_1000Mbps,113.91,1,4744.6
C0000174,31609,38,Standard_300Mbps,88.58,0,4519.52
C0000175,58915,33,Gigabit_1000Mbps,115.63,0,4943.34
C0000176,95873,45,Performance_500Mbps,108.45,1,5932.22
C0000177,34200,83,Gigabit_Pro_2000Mbps,99.94,1,3674.64
C0000178,81963,45,Standard_300Mbps,60.41,0,2768.48
C0000179,91235,4,Basic_100Mbps,48.68,0,2848.43
C0000180,36970,57,Gigabit_1000Mbps,111.39,0,4497.92
C0000181,74521,146,Performance_500Mbps,91.5,1,1536.52
C0000182,63905,1,Performance_500Mbps,67.4,0,4252.88
C0000183,49849,24,Basic_100Mbps,46.06,0,1938.66
C0000184,91235,1,Gigabit_Pro_2000Mbps,131.65,0,8761.46
C0000185,79069,111,Standard_300Mbps,76.52,0,2268.49
C0000186,15642,114,Standard_300Mbps,71.55,0,2317.43
C0000187,97554,35,Performance_500Mbps,75.22,0,3659.71
C0000188,50859,25,Standard_300Mbps,65.04,0,3677.8
C0000189,99179,1,Standard_300Mbps,66.6,0,3820.58
C0000190,72611,122,Gigabit_1000Mbps,98.64,1,4038.49
C0000191,71094,127,Basic_100Mbps,41.65,0,1464.24
C0000192,27636,48,Gigabit_1000Mbps,111.74,1,5272.51
C0000193,73118,1,Performance_500Mbps,97.57,0,6094.0
C0000194,38047,57,Gigabit_1000Mbps,106.83,1,4290.98
C0000195,63870,29,Gigabit_Pro_2000Mbps,153.47,0,8225.98
C0000196,55408,128,Standard_300Mbps,72.72,0,1689.04
C0000197,14644,41,Standard_300Mbps,84.36,1,3891.18
C0000198,55883,112,Gigabit_Pro_2000Mbps,127.85,1,4562.99
C0000199,42052,3,Performance_500Mbps,104.74,0,6053.52
C0000200,17727,50,Basic_100Mbps,43.76,0,2368.73
C0000201,94681,77,Standard_300Mbps,62.28,0,2481.53
C0000202,84338,36,Basic_100Mbps,42.24,0,2236.43
C0000203,82951,28,Basic_100Mbps,47.79,0,2848.15
C0000204,99820,53,Performance_500Mbps,104.78,0,4910.29
C0000205,99820,69,Gigabit_1000Mbps,81.72,0,2947.37
C0000206,50682,35,Basic_100Mbps,51.93,0,2682.99
C0000207,45413,47,Basic_100Mbps,53.32,1,2511.37
C0000208,49965,18,Performance_500Mbps,81.7,0,4399.32
C0000209,99034,15,Performance_500Mbps,82.13,0,4620.22
C0000210,31609,8,Gigabit_Pro_2000Mbps,132.04,1,7158.33
C0000211,64745,35,Standard_300Mbps,87.24,1,4251.79
C0000212,48318,61,Basic_100Mbps,48.53,1,1739.81
C0000213,54744,39,Standard_300Mbps,50.51,0,2954.4
C0000214,45413,17,Standard_300Mbps,74.92,0,5027.55
C0000215,55883,156,Gigabit_1000Mbps,80.06,0,2233.88
C0000216,24086,1,Standard_300Mbps,58.93,0,3694.21
C0000217,48002,13,Basic_100Mbps,37.43,0,1989.86
C0000218,75244,124,Gigabit_1000Mbps,99.67,1,1689.17
C0000219,28094,17,Performance_500Mbps,79.71,0,4932.17
C0000220,63870,34,Standard_300Mbps,65.5,0,3112.67
C0000221,72611,9,Gigabit_1000Mbps,102.13,1,5828.22
C0000222,21437,42,Basic_100Mbps,56.9,0,2622.16
C0000223,49849,37,Basic_100Mbps,49.69,0,1963.76
C0000224,34725,34,Basic_100Mbps,52.66,1,2885.8
C0000225,20943,16,Standard_300Mbps,61.81,0,3312.85
C0000226,38022,112,Basic_100Mbps,48.23,0,1437.16
C0000227,49226,37,Standard_300Mbps,57.59,0,2831.12
C0000228,23944,3,Standard_300Mbps,93.57,0,5128.83
C0000229,63402,47,Standard_300Mbps,74.57,0,3729.15
C0000230,48002,13,Standard_300Mbps,65.04,0,3999.09
C0000231,99577,14,Basic_100Mbps,50.81,1,2796.43
C0000232,67946,9,Gigabit_Pro_2000Mbps,120.46,1,7072.2
C0000233,70317,37,Gigabit_1000Mbps,112.41,0,5307.6
C0000234,44535,112,Basic_100Mbps,43.13,0,1550.19
C0000235,53616,61,Gigabit_Pro_2000Mbps,110.68,0,4847.2
C0000236,36970,92,Basic_100Mbps,51.84,1,1795.23
C0000237,11967,96,Basic_100Mbps,52.35,1,1802.03
C0000238,95590,1,Basic_100Mbps,58.03,0,3610.24
C0000239,14646,35,Gigabit_1000Mbps,97.69,0,5185.92
C0000240,92391,95,Standard_300Mbps,70.9,0,2259.94
C0000241,32768,28,Standard_300Mbps,94.72,0,5813.41
C0000242,69374,41,Basic_100Mbps,38.17,0,1763.95
C0000243,33693,20,Standard_300Mbps,79.6,0,4634.12
C0000244,50550,68,Standard_300Mbps,66.0,1,3172.3
C0000245,22726,6,Standard_300Mbps,68.26,0,4241.55
C0000246,14892,3,Standard_300Mbps,76.68,0,4144.04
C0000247,99820,16,Gigabit_Pro_2000Mbps,72.28,0,3841.78
C0000248,14644,2,Gigabit_1000Mbps,109.2,1,6416.8
C0000249,68710,5,Gigabit_Pro_2000Mbps,152.32,0,8489.74
C0000250,24086,6,Performance_500Mbps,77.93,0,4224.73
C0000251,81299,1,Performance_500Mbps,90.63,1,5153.56
C0000252,71061,60,Basic_100Mbps,57.27,0,2864.79
C0000253,82954,80,Gigabit_Pro_2000Mbps,169.14,1,6728.15
C0000254,36136,1,Performance_500Mbps,68.98,0,3754.9
C0000255,14644,9,Standard_300Mbps,81.13,0,5219.14
C0000256,95873,15,Performance_500Mbps,75.03,0,4741.33
C0000257,27636,57,Performance_500Mbps,104.14,1,4667.24
C0000258,14493,9,Standard_300Mbps,62.64,0,3750.23
C0000259,21864,18,Standard_300Mbps,61.47,0,3914.33
C0000260,58060,131,Performance_500Mbps,94.38,1,2385.82
C0000261,99179,63,Performance_500Mbps,90.14,0,4182.34
C0000262,36872,3,Basic_100Mbps,51.4,0,3232.37
C0000263,59197,13,Performance_500Mbps,70.52,0,4708.38
C0000264,64760,30,Basic_100Mbps,37.43,1,2039.93
C0000265,12914,41,Basic_100Mbps,49.76,0,2622.33
C0000266,44517,37,Standard_300Mbps,83.37,0,3887.55
C0000267,43102,3,Basic_100Mbps,41.0,0,2757.19
C0000268,55443,179,Basic_100Mbps,38.41,0,551.14
C0000269,50682,7,Gigabit_Pro_2000Mbps,131.73,1,6041.24
C0000270,32768,6,Performance_500Mbps,88.44,0,5331.79
C0000271,77328,9,Standard_300Mbps,60.62,0,3080.57
C0000272,96952,19,Gigabit_1000Mbps,131.61,0,6487.11
C0000273,26899,13,Gigabit_1000Mbps,77.33,1,4463.37
C0000274,90631,25,Gigabit_1000Mbps,89.67,0,4182.36
C0000275,16607,86,Standard_300Mbps,53.68,0,2581.09
C0000276,38864,1,Basic_100Mbps,47.2,0,2775.36
C0000277,69330,17,Performance_500Mbps,64.11,1,3561.79
C0000278,77889,153,Performance_500Mbps,100.18,0,2098.88
C0000279,76339,10,Gigabit_Pro_2000Mbps,116.27,1,5761.85
C0000280,57668,61,Basic_100Mbps,55.59,0,2309.74
C0000281,91235,17,Performance_500Mbps,72.72,0,4817.26
C0000282,82925,86,Gigabit_1000Mbps,80.31,0,2658.87
C0000283,18775,36,Standard_300Mbps,83.32,0,4077.13
C0000284,84147,80,Gigabit_1000Mbps,125.82,1,4754.01
C0000285,36970,36,Basic_100Mbps,37.12,0,2143.44
C0000286,49226,79,Standard_300Mbps,79.09,0,3293.92
C0000287,48002,84,Basic_100Mbps,50.91,0,1903.08
C0000288,80959,12,Standard_300Mbps,65.68,0,3750.94
C0000289,39262,65,Standard_300Mbps,67.31,0,2867.29
C0000290,44145,65,Performance_500Mbps,101.09,1,5737.59
C0000291,82481,43,Basic_100Mbps,50.32,0,2293.9
C0000292,95590,9,Basic_100Mbps,48.57,0,2557.41
C0000293,98559,4,Performance_500Mbps,82.18,0,4439.83
C0000294,20366,34,Standard_300Mbps,75.34,0,3398.33
C0000295,71226,38,Standard_300Mbps,69.64,0,3518.07
C0000296,84185,126,Basic_100Mbps,48.67,0,1418.4
C0000297,22457,18,Standard_300Mbps,77.29,0,4952.56
C0000298,50550,46,Performance_500Mbps,102.14,0,4210.17
C0000299,31397,76,Standard_300Mbps,54.18,1,2060.52
C0000300,50623,57,Basic_100Mbps,42.05,0,1855.93
C0000301,11739,18,Performance_500Mbps,94.9,0,5390.61
C0000302,92391,9,Basic_100Mbps,65.01,0,3561.64
C0000303,82954,1,Basic_100Mbps,53.67,0,2616.49
C0000304,39661,51,Standard_300Mbps,83.38,0,4320.11
C0000305,71094,17,Basic_100Mbps,47.81,0,2620.42
C0000306,19147,25,Basic_100Mbps,48.76,1,2292.03
C0000307,66911,145,Performance_500Mbps,94.16,0,1794.25
C0000308,99179,1,Standard_300Mbps,50.64,0,3381.51
C0000309,85422,11,Gigabit_1000Mbps,105.06,0,5908.45
C0000310,85422,142,Basic_100Mbps,45.5,0,1162.55
C0000311,99082,24,Performance_500Mbps,75.41,1,4467.77
C0000312,78102,99,Performance_500Mbps,92.03,0,3276.34
C0000313,82481,68,Standard_300Mbps,71.63,0,3642.29
C0000314,49849,44,Basic_100Mbps,51.68,0,2516.0
C0000315,20239,45,Gigabit_1000Mbps,83.9,1,3711.0
C0000316,50859,1,Performance_500Mbps,91.7,0,4989.73
C0000317,65058,12,Performance_500Mbps,67.37,0,3560.29
C0000318,65058,20,Standard_300Mbps,57.76,0,3250.12
C0000319,17727,26,Basic_100Mbps,63.9,0,3230.54
C0000320,21931,21,Basic_100Mbps,47.66,0,2490.26
C0000321,21797,20,Standard_300Mbps,74.91,0,4089.23
C0000322,29795,71,Performance_500Mbps,81.34,1,3832.92
C0000323,19147,125,Basic_100Mbps,52.32,0,1547.63
C0000324,95873,67,Standard_300Mbps,61.29,0,1847.13
C0000325,33314,42,Gigabit_1000Mbps,105.39,1,4620.63
C0000326,76290,47,Standard_300Mbps,82.56,0,4293.31
C0000327,31609,48,Gigabit_1000Mbps,124.24,0,5468.91
C0000328,73118,57,Standard_300Mbps,82.05,0,4668.2
C0000329,38047,2,Performance_500Mbps,84.72,0,4968.91
C0000330,82954,2,Gigabit_1000Mbps,124.32,1,7828.8
C0000331,70169,3,Gigabit_1000Mbps,105.16,0,6345.91
C0000332,57668,87,Gigabit_1000Mbps,119.24,1,4221.03
C0000333,24944,35,Basic_100Mbps,43.47,0,1935.71
C0000334,96434,21,Standard_300Mbps,83.52,0,4369.86
C0000335,71413,52,Basic_100Mbps,49.49,0,2469.38
C0000336,98436,8,Performance_500Mbps,77.26,1,4739.9
C0000337,36218,58,Basic_100Mbps,50.61,0,2410.02
C0000338,58915,15,Basic_100Mbps,42.85,0,2466.49
C0000339,39367,36,Gigabit_1000Mbps,97.95,0,5506.06
C0000340,20943,157,Performance_500Mbps,80.29,0,1686.95
C0000341,98436,2,Standard_300Mbps,63.87,0,3776.01
C0000342,64810,113,Basic_100Mbps,46.81,0,1938.44
C0000343,77889,52,Performance_500Mbps,70.94,0,3783.93
C0000344,92391,21,Performance_500Mbps,94.45,0,5889.11
C0000345,30476,3,Performance_500Mbps,83.54,0,5013.5
C0000346,37608,4,Basic_100Mbps,51.28,0,3051.1
C0000347,71568,31,Gigabit_1000Mbps,119.59,0,6819.12
C0000348,99196,26,Performance_500Mbps,86.06,0,4163.25
C0000349,59197,27,Standard_300Mbps,72.06,0,4174.6
C0000350,49756,11,Basic_100Mbps,56.57,0,3355.57
C0000351,92374,3,Performance_500Mbps,98.68,0,5782.05
C0000352,96473,57,Performance_500Mbps,73.53,1,3676.19
C0000353,32768,9,Gigabit_1000Mbps,90.17,1,4962.14
C0000354,18775,37,Standard_300Mbps,56.55,0,2548.42
C0000355,63905,16,Standard_300Mbps,58.99,0,3374.12
C0000356,82345,36,Gigabit_Pro_2000Mbps,139.96,1,6943.58
C0000357,90631,52,Standard_300Mbps,80.7,0,3612.6
C0000358,16607,7,Gigabit_1000Mbps,120.04,0,6106.76
C0000359,34200,1,Basic_100Mbps,56.97,1,3144.3
C0000360,31609,11,Basic_100Mbps,57.96,0,3458.79
C0000361,66347,117,Standard_300Mbps,84.78,0,2579.4
C0000362,73118,7,Basic_100Mbps,73.42,0,3900.26
C0000363,41592,23,Basic_100Mbps,52.21,0,2829.43
C0000364,17727,16,Basic_100Mbps,54.14,0,3276.51
C0000365,49849,13,Standard_300Mbps,61.28,0,3061.22
C0000366,41092,47,Basic_100Mbps,36.85,0,1763.5
C0000367,70755,46,Standard_300Mbps,72.41,0,3515.21
C0000368,59197,54,Standard_300Mbps,84.02,0,3927.84
C0000369,36970,14,Standard_300Mbps,68.32,0,3799.48
C0000370,54807,16,Basic_100Mbps,60.83,0,3618.5
C0000371,92374,28,Standard_300Mbps,81.41,1,5274.16
C0000372,58915,1,Gigabit_1000Mbps,94.97,1,5500.5
C0000373,70434,110,Gigabit_Pro_2000Mbps,119.12,0,2757.9
C0000374,85846,9,Performance_500Mbps,99.82,0,6849.24
C0000375,42052,6,Performance_500Mbps,86.01,0,5355.06
C0000376,25352,36,Basic_100Mbps,56.7,0,2987.83
C0000377,54744,67,Performance_500Mbps,76.8,1,3620.7
C0000378,69363,36,Performance_500Mbps,115.64,1,5757.0
C0000379,66911,35,Performance_500Mbps,86.56,1,4340.64
C0000380,14493,24,Standard_300Mbps,77.4,0,4739.87
C0000381,82925,79,Gigabit_1000Mbps,124.03,0,5896.87
C0000382,45413,123,Standard_300Mbps,65.25,0,1655.56
C0000383,11957,32,Basic_100Mbps,51.47,0,2942.1
C0000384,53486,2,Basic_100Mbps,42.9,1,2537.71
C0000385,53486,3,Standard_300Mbps,66.46,0,3860.75
C0000386,92391,19,Gigabit_Pro_2000Mbps,122.44,1,6933.18
C0000387,97554,24,Basic_100Mbps,58.31,0,3111.65
C0000388,98436,36,Gigabit_Pro_2000Mbps,140.25,1,7591.85
C0000389,25352,180,Basic_100Mbps,44.81,0,970.39
C0000390,40418,44,Gigabit_1000Mbps,84.2,1,4713.2
C0000391,65704,74,Standard_300Mbps,85.72,0,2836.91
C0000392,99820,102,Gigabit_1000Mbps,114.45,1,3238.32
C0000393,46830,7,Performance_500Mbps,93.74,0,5272.72
C0000394,76339,14,Performance_500Mbps,80.82,0,4719.43
C0000395,78299,41,Standard_300Mbps,77.12,0,3747.42
C0000396,49849,38,Basic_100Mbps,53.44,0,2686.16
C0000397,53384,19,Basic_100Mbps,40.23,0,2126.6
C0000398,24665,69,Performance_500Mbps,77.68,1,2905.78
C0000399,53616,142,Performance_500Mbps,87.39,1,1916.42
C0000400,15712,18,Standard_300Mbps,63.33,0,3475.44
C0000401,36136,15,Performance_500Mbps,86.82,0,4693.11
C0000402,96952,12,Standard_300Mbps,68.5,0,3168.95
C0000403,61397,29,Basic_100Mbps,48.41,0,2601.47
C0000404,63905,34,Gigabit_1000Mbps,95.41,0,4879.5
C0000405,99820,7,Basic_100Mbps,60.26,0,3730.14
C0000406,44918,11,Standard_300Mbps,53.97,0,2990.43
C0000407,81021,4,Basic_100Mbps,47.36,1,2515.94
C0000408,46443,84,Standard_300Mbps,63.89,0,2349.28
C0000409,49849,37,Performance_500Mbps,84.77,1,3584.17
C0000410,33823,29,Basic_100Mbps,67.57,0,3760.84
C0000411,72904,92,Standard_300Mbps,63.95,0,2386.83
C0000412,68710,146,Standard_300Mbps,70.55,0,1664.66
C0000413,36970,1,Performance_500Mbps,66.82,0,3824.93
C0000414,39367,56,Basic_100Mbps,46.89,0,2224.6
C0000415,82345,27,Performance_500Mbps,88.69,0,3927.44
C0000416,57668,1,Performance_500Mbps,66.27,1,3677.46
C0000417,65704,20,Performance_500Mbps,102.26,0,5820.92
C0000418,80363,53,Standard_300Mbps,61.77,1,3448.07
C0000419,64810,48,Standard_300Mbps,75.59,1,3989.08
C0000420,25464,94,Gigabit_Pro_2000Mbps,121.41,1,4322.6
C0000421,42290,34,Standard_300Mbps,73.59,0,3789.19
C0000422,35401,9,Performance_500Mbps,77.47,0,4871.67
C0000423,30476,46,Basic_100Mbps,59.42,0,2102.96
C0000424,25464,143,Basic_100Mbps,65.51,1,1207.89
C0000425,91235,77,Standard_300Mbps,59.97,0,2461.2
C0000426,99034,1,Performance_500Mbps,63.63,1,3388.11
C0000427,82925,20,Standard_300Mbps,77.54,0,3909.94
C0000428,77889,8,Gigabit_Pro_2000Mbps,139.93,0,7642.4
C0000429,64760,24,Basic_100Mbps,50.13,1,2547.12
C0000430,71568,17,Standard_300Mbps,64.32,0,4138.66
C0000431,58060,29,Performance_500Mbps,72.82,0,3442.73
C0000432,71228,62,Basic_100Mbps,69.87,0,3137.74
C0000433,42290,37,Performance_500Mbps,86.4,0,4299.4
C0000434,54807,15,Gigabit_1000Mbps,87.22,1,4430.01
C0000435,77889,14,Gigabit_1000Mbps,82.99,0,4862.16
C0000436,59214,8,Basic_100Mbps,45.05,1,2649.02
